시군구명,시도명,관광지명,,KTO카테고리대분류명,KTO카테고리중분류명,KTO카테고리소분류명,방문자수
도봉구,서울특별시,수락·불암산코스,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=1e10b1de-ddbf-4b25-9166-9adbcb753f0d,레포츠,육상 레포츠,트래킹,4422
도봉구,서울특별시,무수아취,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=8eca3990-4e26-4ab7-9956-2d7a96980bc9,음식,음식점,한식,3891
도봉구,서울특별시,원당샘공원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=e83b672e-772a-425d-add7-5bae4868a6fb,인문(문화/예술/역사),휴양관광지,공원,871
도봉구,서울특별시,무수골계곡,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=6c1c2f3f-1015-4059-805c-52288906cfdb,자연,자연관광지,계곡,686
도봉구,서울특별시,서울창포원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=e4bf5bd7-2c14-47ff-a3a9-0d3e643e2fd2,자연,자연관광지,수목원,564
도봉구,서울특별시,둘리뮤지엄,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=4e999fb9-93f0-4918-887c-9e5667e629ef,인문(문화/예술/역사),문화시설,박물관,472
도봉구,서울특별시,창동문화체육센터,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=3d67c9de-25b5-4317-8510-36d40853a16e,레포츠,육상 레포츠,수련시설,380
도봉구,서울특별시,평화문화진지,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=61ecf913-4f07-4c1a-a8b8-372404a049d0,인문(문화/예술/역사),문화시설,전시관,329
도봉구,서울특별시,북한산백운대(우이동),https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=2d227c33-22fc-436b-af39-410e5c6d0a59,자연,자연관광지,산,310
도봉구,서울특별시,도봉산,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=84407562-5212-4cef-9d17-2713122d500f,자연,자연관광지,산,296
도봉구,서울특별시,황금정원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=527c7944-21e3-4040-abc4-e5f20c2f77e8,음식,음식점,한식,294
도봉구,서울특별시,다락원체육공원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=4ce915e1-1488-4b92-9b39-16981c02d524,인문(문화/예술/역사),휴양관광지,공원,266
도봉구,서울특별시,얼스오브제,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=a0e69097-8213-45c4-a4b2-dbb4fb6431c7,쇼핑,쇼핑,공예/공방,266
도봉구,서울특별시,신창시장,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=503f2515-9938-4006-9569-2781059d5f0b,쇼핑,쇼핑,상설시장,263
도봉구,서울특별시,법종사,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=69cdf8b4-86e1-4b31-820f-d6ebc2524d61,인문(문화/예술/역사),역사관광지,사찰,205
도봉구,서울특별시,국립공원 산악박물관,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=74ffd964-ddba-49e1-b35f-b52bdf74fa7d,인문(문화/예술/역사),문화시설,박물관,183
도봉구,서울특별시,덕성여자대학교박물관,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=7960a897-145e-4efb-9f9a-c60cef39aa92,인문(문화/예술/역사),문화시설,박물관,164
도봉구,서울특별시,도봉문화원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=52d342b3-6708-4643-a4a2-786252523020,인문(문화/예술/역사),문화시설,문화원,159
도봉구,서울특별시,동적불고기깡통구이 쌍문 본점,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=ec8bcace-f432-4213-b3d1-73db9f5ab9b8,음식,음식점,한식,155
도봉구,서울특별시,구월십일,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=006713a2-7128-4c88-8a25-736004dadc8b,음식,음식점,한식,151
도봉구,서울특별시,대문,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=81439bcd-45de-46cd-b9ee-d0c053a7f625,음식,음식점,한식,134
