시군구명,시도명,관광지명,,KTO카테고리대분류명,KTO카테고리중분류명,KTO카테고리소분류명,방문자수
동대문구,서울특별시,경동시장,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=6f9c69df-69e8-4dec-ba27-c31789310df3,쇼핑,쇼핑,상설시장,1760
동대문구,서울특별시,홍릉수목원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=e350d653-9296-44b9-8e44-7d0b881389d5,자연,자연관광지,수목원,1467
동대문구,서울특별시,서울 약령시장,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=960109f8-ac9b-4a34-87f1-5c4162c6ac86,쇼핑,쇼핑,상설시장,1389
동대문구,서울특별시,홍릉숲,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=e350d653-9296-44b9-8e44-7d0b881389d5,자연,자연관광지,수목원,1309
동대문구,서울특별시,청량사(서울),https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=24770594-501a-4d60-870d-b4cea7d54de9,인문(문화/예술/역사),역사관광지,사찰,934
동대문구,서울특별시,서울풍물시장,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=254150eb-4015-4842-9aa4-04d2bad6ef50,쇼핑,쇼핑,상설시장,877
동대문구,서울특별시,배봉산,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=735bfed5-2e1c-4c23-aafa-1ba026292c37,자연,자연관광지,산,829
동대문구,서울특별시,서울한방진흥센터,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=faf5b907-fb5e-4285-b316-b8264cb2bd14,인문(문화/예술/역사),문화시설,전시관,526
동대문구,서울특별시,청량종합도매시장,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=e9f61d0f-2b24-450d-acce-091a064ee9ff,쇼핑,쇼핑,상설시장,500
동대문구,서울특별시,청량리청과물시장,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=33a11746-505d-425b-a2de-610e4e0a8446,쇼핑,쇼핑,상설시장,483
동대문구,서울특별시,용두동 쭈꾸미골목,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=b436d023-2a91-45e5-a7d9-0a49d82298d3,인문(문화/예술/역사),체험관광지,이색체험,382
동대문구,서울특별시,세종대왕박물관,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=9af53eb7-e56c-4dff-a878-b8a1ee407dc9,인문(문화/예술/역사),문화시설,박물관,376
동대문구,서울특별시,답십리 고미술상가,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=9a559f22-2683-4bf9-b99e-2ede53d68650,쇼핑,쇼핑,전문매장/상가,374
