시군구명,시도명,관광지명,,KTO카테고리대분류명,KTO카테고리중분류명,KTO카테고리소분류명,방문자수
동작구,서울특별시,국립서울현충원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=12b117f9-e135-4a9a-ba4c-061685cf361b,인문(문화/예술/역사),역사관광지,유적지/사적지,958
동작구,서울특별시,보라매안전체험관,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=8fda15f5-af68-4635-9c73-5feb751eae75,인문(문화/예술/역사),체험관광지,이색체험,673
동작구,서울특별시,터방내,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=320f0097-c3c5-4e64-a0b5-de8572716eae,음식,음식점,카페/전통찻집,581
동작구,서울특별시,서울여성플라자,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=b9242724-eeba-4356-beda-7e0c473807aa,레포츠,육상 레포츠,수련시설,489
동작구,서울특별시,보라매공원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=fbcaaedf-49e6-479d-99b0-e8b4c376e1c8,인문(문화/예술/역사),휴양관광지,공원,462
동작구,서울특별시,노들나루공원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=919d2eb9-7861-4ad2-bc5e-072b8d688f92,인문(문화/예술/역사),휴양관광지,공원,385
동작구,서울특별시,사육신공원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=a79dfbdb-808c-4d90-8086-127dd2c9ed32,인문(문화/예술/역사),휴양관광지,공원,371
동작구,서울특별시,동작노을카페,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=b3b7a9b1-d04a-4b6a-b87a-98f83bd8be7f,음식,음식점,카페/전통찻집,345
동작구,서울특별시,고구동산길,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=5ac11ece-71e7-450a-a71c-2395b63cfc67,레포츠,육상 레포츠,트래킹,340
동작구,서울특별시,노량진수산물도매시장,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=3a653274-8f49-4687-a671-f9022924ba53,쇼핑,쇼핑,상설시장,331
동작구,서울특별시,CTS아트홀,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=866e85e5-15ef-4ffa-99b9-bb3b63e2329f,인문(문화/예술/역사),문화시설,공연장,327
동작구,서울특별시,성대시장,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=2aa9d95f-fb21-4732-a503-0e875d2fff81,쇼핑,쇼핑,상설시장,318
동작구,서울특별시,호국지장사(서울),https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=f6600dc1-3e28-4d27-a0b7-474bedaba290,인문(문화/예술/역사),역사관광지,사찰,302
동작구,서울특별시,청와옥 사당직영점,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=4a54efa5-e507-4357-9fd6-1adadecd72eb,음식,음식점,한식,288
동작구,서울특별시,남성사계시장,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=eb65a483-2d8a-41c0-ad7d-6f91b612b8a6,쇼핑,쇼핑,상설시장,288
동작구,서울특별시,동작문화원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=2086f78e-5f94-485a-9178-f393390fee8e,인문(문화/예술/역사),문화시설,문화원,265
동작구,서울특별시,용양봉저정 공원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=b3ceb742-f249-463e-aa0d-ca6e9ffcea1d,인문(문화/예술/역사),휴양관광지,공원,252
동작구,서울특별시,아트홀 봄,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=87d14e75-e7d3-4ca9-ba1e-b3844964b9e2,인문(문화/예술/역사),문화시설,공연장,212
동작구,서울특별시,효사정,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=91c23e4f-eaa1-4251-ab7b-15892e4b0743,인문(문화/예술/역사),휴양관광지,공원,173
동작구,서울특별시,더한강,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=31fbc453-8f3f-498f-a17b-fe169371178a,음식,음식점,카페/전통찻집,161
동작구,서울특별시,사당시장,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=f48c3eef-bff6-4474-adfb-ebc2a424e401,쇼핑,쇼핑,상설시장,152
동작구,서울특별시,조선일보 뉴지엄,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=ad565eec-cc45-4f17-a22a-c472c8f5cac4,인문(문화/예술/역사),산업관광지,기타,131
동작구,서울특별시,숭실대학교 한국기독교박물관,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=64d94b3c-ed97-4a7a-be52-f1d07c13bf03,인문(문화/예술/역사),문화시설,박물관,129
동작구,서울특별시,달마사(서울),https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=0f91dbcd-2853-4d21-a5b6-721b4b09f1ac,인문(문화/예술/역사),역사관광지,사찰,129
동작구,서울특별시,등나무집,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=a0312183-57d4-4d54-8c62-2ca2cb892c41,음식,음식점,한식,128
동작구,서울특별시,서울특별시교육청 동작도서관,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=2f300ea3-514c-4c6c-a70b-0b291507100a,인문(문화/예술/역사),문화시설,도서관,98
동작구,서울특별시,미자식당,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=a7c1a9e7-1bc1-41b6-aa95-6147ad9995a2,음식,음식점,한식,90
동작구,서울특별시,서일순대국,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=e95e18f2-3f38-417d-9976-cf3e69b56d8a,음식,음식점,한식,74
동작구,서울특별시,사당청소년문화의집,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=e28a91f1-74a5-4678-adf6-1ea7b6829a1f,레포츠,육상 레포츠,수련시설,72
동작구,서울특별시,보라매청소년수련관,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=1a4383fb-3406-4e63-a87c-ae03092d9716,레포츠,육상 레포츠,수련시설,62
동작구,서울특별시,동작청소년문화의집,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=22f8f0ae-95e6-4bce-8cfa-715614e9f619,인문(문화/예술/역사),체험관광지,이색체험,60
동작구,서울특별시,순천집,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=dce6a130-0751-487e-9c31-5d79fcb2ed8c,음식,음식점,한식,58
동작구,서울특별시,친구네정육식당,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=2825d502-8436-42da-a773-b371f8ba8eac,음식,음식점,한식,38
동작구,서울특별시,전주전집,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=f3797721-6467-4d07-ab60-1f520b671592,음식,음식점,한식,29
동작구,서울특별시,충남식당,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=99993b88-caed-4f00-b12b-a165bac9ddda,음식,음식점,한식,28
