시군구명,시도명,관광지명,,KTO카테고리대분류명,KTO카테고리중분류명,KTO카테고리소분류명,방문자수
강북구,서울특별시,삼각산,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=bacf70d2-0022-4e01-8805-40c752c9f8c0,자연,자연관광지,산,6492
강북구,서울특별시,북서울 꿈의숲,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=007befa7-4e6b-4839-a3c9-79f6dc5f9cba,자연,자연관광지,자연생태관광지,2756
강북구,서울특별시,도선사(서울),https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=94cacaba-393b-4e77-9ce6-0b9fcab6cc2f,인문(문화/예술/역사),역사관광지,사찰,2021
강북구,서울특별시,우이동계곡,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=674c50da-0731-46d9-b769-9eeb11be29e7,자연,자연관광지,계곡,1728
강북구,서울특별시,서울도심등산관광센터,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=bcb2fd67-f8d8-44a5-bd87-7723d896cdda,인문(문화/예술/역사),체험관광지,이색체험,1152
강북구,서울특별시,우이동 가족캠핑장,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=c1b10c88-938c-414f-9d42-0eb819f13dd9,레포츠,육상 레포츠,야영장_오토캠핑장,874
강북구,서울특별시,상상톡톡 미술관,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=be20cda7-bcb3-49e1-b432-5c6d7bfe405f,인문(문화/예술/역사),문화시설,미술관/화랑,648
강북구,서울특별시,한옥카페 선운각,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=f8390e7b-8dcd-4b9c-9c45-1c1af6d028c6,음식,음식점,카페/전통찻집,599
강북구,서울특별시,국립4.19민주묘지,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=94eece9c-a5c2-4f91-836b-38f34cc6dd84,인문(문화/예술/역사),역사관광지,유적지/사적지,575
강북구,서울특별시,오동근린공원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=655a98fc-714d-405f-89e1-61c38056128e,인문(문화/예술/역사),휴양관광지,공원,471
강북구,서울특별시,옥류헌릴렉스,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=01f90c2a-4521-4f21-9d35-2efbaa26077e,음식,음식점,카페/전통찻집,404
강북구,서울특별시,미림산장,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=dd6f4ec4-ddad-4312-bc22-439288124604,음식,음식점,한식,314
강북구,서울특별시,보광사 보광선원(서울),https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=52e1ebbb-a272-42a5-a77a-01ace6445eca,인문(문화/예술/역사),역사관광지,사찰,292
강북구,서울특별시,북한산 소나무숲길,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=c5f2d118-992f-4358-bca7-9350dcba0a31,레포츠,육상 레포츠,트래킹,238
강북구,서울특별시,근현대사기념관,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=52291609-7312-4ada-9368-4020d63e1ff2,인문(문화/예술/역사),문화시설,기념관,231
강북구,서울특별시,우이동 먹거리마을,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=62db3283-c86a-4656-b479-cece7f9e6dbd,인문(문화/예술/역사),체험관광지,이색체험,229
강북구,서울특별시,역사문화관광스탬프투어,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=a4f511bc-f414-4a61-8fd9-d27fda87cd72,레포츠,육상 레포츠,트래킹,213
강북구,서울특별시,꿈의숲 아트센터,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=238a730a-c626-4f79-98e0-b282faa129a4,인문(문화/예술/역사),문화시설,공연장,209
강북구,서울특별시,수유시장,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=e706cc72-53ad-4ac5-a1c6-0726e7b7c692,쇼핑,쇼핑,상설시장,178
강북구,서울특별시,다래함박스텍,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=232eea5e-36f3-4bf2-9f66-c8664abf1414,음식,음식점,서양식,167
강북구,서울특별시,서당골,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=f27bd8af-575a-4d77-803e-d0d381608368,음식,음식점,한식,142
강북구,서울특별시,윤극영가옥,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=e701aa6f-5baf-4cfa-8b86-0cbac3d7f1b2,인문(문화/예술/역사),역사관광지,생가,135
강북구,서울특별시,카페 산아래,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=7999d433-2192-408e-84e5-b479b0636444,음식,음식점,카페/전통찻집,133
강북구,서울특별시,우이시장,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=d37bc960-cb5e-4327-addd-eec8bdf4d390,쇼핑,쇼핑,상설시장,130
강북구,서울특별시,화계사(서울),https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=9476eaf1-9d06-4a5c-826b-8c38e4289ff1,인문(문화/예술/역사),역사관광지,사찰,129
강북구,서울특별시,북한산 흰구름길,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=87533a9d-4960-4476-bb9c-4b0c44cc6bed,레포츠,육상 레포츠,트래킹,118
강북구,서울특별시,본원정사(서울),https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=26583275-059c-4d14-80ce-80d71b47128c,인문(문화/예술/역사),역사관광지,사찰,117
강북구,서울특별시,숭인시장,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=b22f7251-ce1e-4fa2-a020-a2be261dbb4e,쇼핑,쇼핑,상설시장,109
강북구,서울특별시,대보명가,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=a8386174-6ecc-4bd2-bb52-843a256e4fef,음식,음식점,한식,92
강북구,서울특별시,우이산장 키토산 오리집,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=3dc5f944-1e24-4eb6-bf56-6c91a9f87948,음식,음식점,한식,84
강북구,서울특별시,빨래골,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=1510d9c5-1e65-4d46-a5e2-149b5d380a55,인문(문화/예술/역사),역사관광지,민속마을,81
강북구,서울특별시,백련사(서울),https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=c09a5c82-4d2b-46c2-9cc9-c8f8be046c62,인문(문화/예술/역사),역사관광지,사찰,79
강북구,서울특별시,미즐카페엠,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=37c41249-19f8-4377-b87f-4e85e31dcc66,음식,음식점,카페/전통찻집,79
강북구,서울특별시,우이동 먹거리마을,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=62db3283-c86a-4656-b479-cece7f9e6dbd,인문(문화/예술/역사),체험관광지,이색거리,77
강북구,서울특별시,북한산 순례길,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=83a164be-bac0-4494-830a-a9e6f3afabbf,레포츠,육상 레포츠,트래킹,67
강북구,서울특별시,박을복자수박물관,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=0d6e2cf1-a043-4f8f-8ae3-0a7c62bb6267,인문(문화/예술/역사),문화시설,박물관,63
강북구,서울특별시,엘림들깨수제비칼국수,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=59ba5177-b2eb-4463-a040-7c125c394574,음식,음식점,한식,61
강북구,서울특별시,초대길,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=ef9fdec8-d7c7-431b-97bd-e4f78b711c4a,레포츠,육상 레포츠,트래킹,57
강북구,서울특별시,이설함흥냉면,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=73819da4-334b-43e7-bbcc-0b29011a871b,음식,음식점,한식,56
강북구,서울특별시,왕의장어,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=318f61e2-81c0-4c2f-a95c-261c6b355bc2,음식,음식점,한식,52
강북구,서울특별시,수유중앙시장,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=0a2e1359-d06b-46bd-bdd5-b52de87ef251,쇼핑,쇼핑,상설시장,50
강북구,서울특별시,메이린,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=fecd9e81-8a87-4f03-8cb4-198084159fd2,음식,음식점,중식,48
강북구,서울특별시,가문,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=1ff463a9-2a43-4fac-9c84-67346d2dfc69,음식,음식점,중식,41
강북구,서울특별시,강북문화원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=a4974876-50eb-486c-b942-bc0cdf59dcf5,인문(문화/예술/역사),문화시설,문화원,31
강북구,서울특별시,리치다이아몬드호텔,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=46ca6d0c-10f4-4ca2-9a1b-b60c9fae354a,숙박,숙박시설,관광호텔,27
강북구,서울특별시,비바서울,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=67f4cb37-397e-4d9a-b5eb-9e426a8ccd96,음식,음식점,서양식,26
강북구,서울특별시,수유손칼국수,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=b08ed275-8d26-4fc5-9e40-c4a0c808f574,음식,음식점,한식,17
강북구,서울특별시,우이동만남의광장,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=f65088a3-4c60-4bb1-8bb6-57d3f99092bf,인문(문화/예술/역사),휴양관광지,공원,11
강북구,서울특별시,장수마늘보쌈,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=8aca89ba-2258-4ec0-881f-9ddf81e4a7b6,음식,음식점,한식,8
강북구,서울특별시,삼양시장,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=20d98ad8-da09-46be-9d38-f3c86ba49f55,쇼핑,쇼핑,상설시장,6
강북구,서울특별시,한미장,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=4c105844-50a1-4718-9309-ff3d3344a626,숙박,숙박시설,한옥,1
강북구,서울특별시,갤럭시 롯데 미아점,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=e15ec78c-7420-43f4-bdd0-daad8164e259,쇼핑,쇼핑,사후면세점,1
