시군구명,시도명,관광지명,,KTO카테고리대분류명,KTO카테고리중분류명,KTO카테고리소분류명,방문자수
강동구,서울특별시,아리수 정수센터,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=1277bdce-4245-4600-8a79-4980e51ab0ca,인문(문화/예술/역사),산업관광지,기타,581
강동구,서울특별시,고덕사회체육센터(실내수영장),https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=06cb62cb-c6f6-4404-aea8-b0fe32f83a88,레포츠,수상 레포츠,수영,478
강동구,서울특별시,판타지보이 롤러클럽,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=9de4f732-e5c2-4b3b-b47b-a06203951ed6,레포츠,육상 레포츠,인라인(실내 인라인 포함),426
강동구,서울특별시,오늘손칼국수&찜 강동본점,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=5ec8d749-8451-4799-a3ad-35f071260e82,음식,음식점,한식,399
강동구,서울특별시,둔촌역전통시장,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=9fb15a9f-a3e0-48f9-a3ff-17369615757e,쇼핑,쇼핑,상설시장,395
강동구,서울특별시,서울 암사동 유적,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=c3a6b30b-4b53-48f3-a6d0-c46dfc606d2d,인문(문화/예술/역사),역사관광지,유적지/사적지,390
강동구,서울특별시,암사생태공원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=39f7645a-d0ea-47ae-a51b-1ba0b83b872c,자연,자연관광지,자연생태관광지,386
강동구,서울특별시,천호자전거거리,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=c7a8ddfd-7175-421a-9d2a-5eb5ed67fc09,인문(문화/예술/역사),체험관광지,이색체험,311
강동구,서울특별시,해공신익희선생동상,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=9bfe7241-9468-41a8-9d2b-6b824323d55c,인문(문화/예술/역사),건축/조형물,동상,286
강동구,서울특별시,강동그린웨이 가족캠핑장,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=9924f91e-440b-49f6-a7e2-eeb1ca924f3e,레포츠,육상 레포츠,야영장_오토캠핑장,272
강동구,서울특별시,스윗솔트,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=737d57ce-9ce7-4efd-ad6e-80e985b84b92,음식,음식점,카페/전통찻집,266
강동구,서울특별시,구암서원 터,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=1e9356c5-a01c-4e47-bf60-5d9c2416e371,인문(문화/예술/역사),역사관광지,유적지/사적지,258
강동구,서울특별시,일자산허브천문공원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=be99631d-6f4e-4acb-b254-bf54a49057ed,인문(문화/예술/역사),휴양관광지,테마공원,248
