시군구명,시도명,관광지명,,KTO카테고리대분류명,KTO카테고리중분류명,KTO카테고리소분류명,방문자수
강남구,서울특별시,스타필드 코엑스몰,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=1c9a8770-2bbd-4b23-8b87-00ba2388dba4,쇼핑,쇼핑,전문매장/상가,5165
강남구,서울특별시,봉은사(서울),https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=eba1cc70-dbed-4b31-b61b-5292d7eabe77,인문(문화/예술/역사),역사관광지,사찰,3278
강남구,서울특별시,일상비일상의틈,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=8e04d8bb-8d99-4c7f-ba94-b00b470b98a0,인문(문화/예술/역사),산업관광지,기타,2834
강남구,서울특별시,신사동 가로수길,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=0cab1914-ca4c-44aa-94ee-6a0f3278f394,인문(문화/예술/역사),체험관광지,이색체험,2643
강남구,서울특별시,별마당도서관,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=aa797d0c-4fa7-46e3-99d9-cc32bfc58ad6,인문(문화/예술/역사),문화시설,도서관,2093
강남구,서울특별시,한국종합무역센터(코엑스),https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=ae7c4ce1-5629-4113-97f9-47cd1286e7ab,인문(문화/예술/역사),문화시설,컨벤션센터,1700
강남구,서울특별시,서울 선릉(성종과 정현왕후)과 정릉(중종) [유네스코 세계문화유산],https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=c124cad3-5585-4d29-b377-5cde73ff807d,인문(문화/예술/역사),역사관광지,유적지/사적지,1676
강남구,서울특별시,풍월당,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=9dcb88b0-3051-41fb-8dd8-a741fbf7c059,쇼핑,쇼핑,전문매장/상가,1589
강남구,서울특별시,새벽집 청담,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=caef0469-6529-4720-807e-f1feaeda2cf9,음식,음식점,한식,1509
강남구,서울특별시,연화산,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=1eb63103-9ac4-44f2-b3d2-6af84005a63b,음식,음식점,중식,1505
강남구,서울특별시,압구정 로데오거리,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=4a391914-a489-4214-85ac-dbeb2c7af328,인문(문화/예술/역사),체험관광지,이색체험,1489
강남구,서울특별시,삼원가든,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=436c4425-0ca0-4a63-ab56-98c558fe1c6f,음식,음식점,한식,1265
강남구,서울특별시,일원장미공원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=0ad2a38e-9082-4c0f-982c-6baf8580fd09,인문(문화/예술/역사),휴양관광지,공원,1229
강남구,서울특별시,피규어뮤지엄W,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=6d1947c4-99ea-4387-947f-15867a3d4a08,인문(문화/예술/역사),문화시설,박물관,1224
강남구,서울특별시,호림아트센터(호림박물관 신사분관),https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=e84bb744-aa5f-4463-ae2d-62edbe850141,인문(문화/예술/역사),문화시설,박물관,1191
강남구,서울특별시,능인선원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=f1a063ca-69df-4cf5-b628-3e2561ca3e08,인문(문화/예술/역사),역사관광지,사찰,1187
강남구,서울특별시,세븐럭카지노(강남코엑스점),https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=c93fdd64-c7a8-4b7b-8ea4-7188c0905837,레포츠,육상 레포츠,카지노,1102
강남구,서울특별시,식물관PH,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=b91bdb9d-3dd8-4c63-b868-296bf74889fb,인문(문화/예술/역사),문화시설,전시관,1073
강남구,서울특별시,코엑스아티움,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=9f4ab302-656c-417a-a50e-709a6ee245ea,인문(문화/예술/역사),문화시설,공연장,1004
강남구,서울특별시,코엑스동측광장,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=1f4051b4-539c-4fcb-8a54-9a296ac81905,인문(문화/예술/역사),휴양관광지,공원,898
강남구,서울특별시,High Street Italia (하이 스트리트 이탈리아),https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=f91e9362-2fa9-49ce-b5d9-6b50f7f51d07,인문(문화/예술/역사),체험관광지,이색체험,895
강남구,서울특별시,송은,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=4482d173-7163-4e1c-834c-e764bbe9b0ca,인문(문화/예술/역사),문화시설,미술관/화랑,893
강남구,서울특별시,호텔 카푸치노,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=279e769c-0904-43ad-bd85-67b73da423a6,숙박,숙박시설,관광호텔,881
강남구,서울특별시,세종한우정육점식당  2호점,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=4ba3d129-ce8b-48af-95ec-70cafe3e4c5d,음식,음식점,한식,817
강남구,서울특별시,세라믹 팔레스 홀,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=47c50ae3-b38c-41ff-8217-0f44a7c3596e,인문(문화/예술/역사),문화시설,공연장,812
강남구,서울특별시,서울국가무형문화재전수회관,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=9762ef15-cc23-40cb-b5da-8b028c5653f9,인문(문화/예술/역사),문화시설,문화전수시설,785
강남구,서울특별시,논현 가구거리,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=8676471d-a577-491e-8255-e1f99b46dc00,인문(문화/예술/역사),체험관광지,이색거리,772
강남구,서울특별시,강남 시티투어 (트롤리버스),https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=0d894c51-bb36-4a00-aff0-7ccccc83b112,인문(문화/예술/역사),체험관광지,이색체험,757
