시군구명,시도명,관광지명,,KTO카테고리대분류명,KTO카테고리중분류명,KTO카테고리소분류명,방문자수
강서구,서울특별시,서울식물원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=309a0548-b732-4f85-8c2f-e45971f30df2,자연,자연관광지,수목원,5964
강서구,서울특별시,국립항공박물관,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=f172e013-d09c-428d-b9d6-8911307af5db,인문(문화/예술/역사),문화시설,박물관,4131
강서구,서울특별시,약사사(서울),https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=88af1f24-f55d-4f9b-a150-62edae231300,인문(문화/예술/역사),역사관광지,사찰,1953
강서구,서울특별시,강서농산물도매시장,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=56d81bd3-606a-473b-801c-faf2b0c2b55b,쇼핑,쇼핑,상설시장,1682
강서구,서울특별시,양천향교,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=ff9079dc-2ac1-4ab4-a918-391bc16054a0,인문(문화/예술/역사),역사관광지,유적지/사적지,1453
강서구,서울특별시,고성막국수,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=4b6f6d24-a090-4721-bd39-5d2a76ea97f8,음식,음식점,한식,1341
강서구,서울특별시,미타사(강서),https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=ead0ed10-9070-460a-8c09-4977e086512a,인문(문화/예술/역사),역사관광지,사찰,1317
강서구,서울특별시,스페이스K,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=d22869c1-106e-462f-a5b1-dcda30567eab,인문(문화/예술/역사),문화시설,전시관,1235
강서구,서울특별시,키누카누,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=d110e855-7b9d-4e5b-96da-7f2d2dfec30f,음식,음식점,일식,848
강서구,서울특별시,메이필드호텔,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=aaa0550e-99d2-436a-ae64-50b0f382826d,숙박,숙박시설,관광호텔,772
강서구,서울특별시,허준박물관,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=8b13a231-ed96-475c-8e68-5fe4a92078d9,인문(문화/예술/역사),문화시설,박물관,702
강서구,서울특별시,방신재래시장,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=316d4085-dd4b-4a16-bb95-4bbbdf4251a0,쇼핑,쇼핑,상설시장,596
강서구,서울특별시,겸재정선미술관,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=3f0c8069-9db0-42e1-aef4-b0f2c467a040,인문(문화/예술/역사),문화시설,미술관/화랑,403
강서구,서울특별시,황금내근린공원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=63c0f295-4844-4c41-a2cb-d2701030d42c,인문(문화/예술/역사),휴양관광지,공원,396
강서구,서울특별시,거궁 마곡점,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=985f1656-3306-4948-9b91-dc2b8eb1afd9,음식,음식점,한식,330
강서구,서울특별시,홍원사,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=5f996288-a119-4fdc-a4ad-ae4bbb1cdbd9,인문(문화/예술/역사),역사관광지,사찰,290
강서구,서울특별시,서울식물원 호수공원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=4695b2bb-887c-42c6-be09-94981c399e0e,인문(문화/예술/역사),휴양관광지,공원,254
강서구,서울특별시,더퍼스트스테이 호텔  [한국관광 품질인증/Korea Quality],https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=3dd78fcb-319f-4f7d-8d67-ead53525f398,숙박,숙박시설,관광호텔,251
강서구,서울특별시,유림 강서점,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=2c5d9b0d-da6f-4346-b695-ead8925b3b16,음식,음식점,한식,215
강서구,서울특별시,헤이더그린,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=f9796b74-7963-4f04-9db9-eb0bfdfe5f62,음식,음식점,카페/전통찻집,207
강서구,서울특별시,화곡본동시장,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=abe1ba33-4f0d-4e3e-9ff9-4f2db110c063,쇼핑,쇼핑,상설시장,194
강서구,서울특별시,마실한정식 발산점,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=c76c7bd2-abb2-4f70-9dba-bfc231398b8b,음식,음식점,한식,183
강서구,서울특별시,성심사,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=22f76dbe-b83d-4f16-9c59-cfc57d9ef9a6,인문(문화/예술/역사),역사관광지,사찰,179
