시군구명,시도명,관광지명,,KTO카테고리대분류명,KTO카테고리중분류명,KTO카테고리소분류명,방문자수
구로구,서울특별시,푸른수목원&항동철길,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=3ee5c945-73f5-4796-b715-b7d0c93759d4,자연,자연관광지,수목원,4277
구로구,서울특별시,구로 중앙유통단지,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=fef02e1f-b260-47d2-91dd-cd8ed73725d3,쇼핑,쇼핑,전문매장/상가,3098
구로구,서울특별시,국제음식문화거리(INTERNATIONAL FOOD STREET),https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=0fc78da7-0fc7-40a6-b799-6e03923e2a17,인문(문화/예술/역사),체험관광지,이색체험,1189
구로구,서울특별시,오류시장,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=9d67243f-88f0-497f-952d-ff50d655a041,쇼핑,쇼핑,상설시장,563
구로구,서울특별시,천왕산 가족캠핑장,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=3cc625a0-55a7-4754-bc33-692a96ebcdcf,레포츠,육상 레포츠,야영장_오토캠핑장,408
구로구,서울특별시,고척근린시장,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=7710bdb8-73de-4730-b4ad-597b2a97dea6,쇼핑,쇼핑,상설시장,376
구로구,서울특별시,온수공원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=076bba44-9e91-4c1e-a08b-54daf480db73,인문(문화/예술/역사),휴양관광지,공원,345
구로구,서울특별시,개봉중앙시장,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=2b1ea292-fc15-4d2a-b75e-2e29bae76229,쇼핑,쇼핑,상설시장,289
구로구,서울특별시,국제음식문화거리(INTERNATIONAL FOOD STREET),https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=0fc78da7-0fc7-40a6-b799-6e03923e2a17,인문(문화/예술/역사),체험관광지,이색거리,288
구로구,서울특별시,구로기계공구단지,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=aa1c6fa1-9e8b-417c-a88c-4b302ea59119,인문(문화/예술/역사),휴양관광지,관광단지,286
구로구,서울특별시,궁동저수지 생태공원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=9d2f4520-de1e-43ae-ab3c-9acfb514e68f,자연,자연관광지,자연생태관광지,284
구로구,서울특별시,고척 스카이돔,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=8fc28aea-d2be-456f-8b79-14129767e895,레포츠,육상 레포츠,경기장,246
구로구,서울특별시,명품 구로 올레길,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=b3c6b67c-a35b-46a1-823d-7ecf6360453b,레포츠,육상 레포츠,트래킹,239
구로구,서울특별시,온수도시 자연공원(잣절공원),https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=0f6a9d7d-d067-48eb-9a80-75ccb51d3833,자연,자연관광지,자연생태관광지,214
구로구,서울특별시,음식문화특화거리(깔깔거리),https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=840877ea-e841-41b7-a4b2-9a90618373cb,인문(문화/예술/역사),체험관광지,이색체험,206
구로구,서울특별시,안양천 물놀이장,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=2db93d3c-d9c7-4e1d-bf80-9f2247cc9074,레포츠,수상 레포츠,수영,200
