시군구명,시도명,관광지명,,KTO카테고리대분류명,KTO카테고리중분류명,KTO카테고리소분류명,방문자수
관악구,서울특별시,삼성산성지,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=809b8dc5-2c7d-4e85-a707-2997d50ebc1e,인문(문화/예술/역사),역사관광지,종교성지,2005
관악구,서울특별시,관악산 낙성대공원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=1f721899-9693-4080-8475-721d754dc4e5,인문(문화/예술/역사),역사관광지,유적지/사적지,1402
관악구,서울특별시,서울 신림동 민속순대타운,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=15917c7e-0c2d-45ae-8d78-ea9d90ecb1a9,인문(문화/예술/역사),체험관광지,이색체험,1055
관악구,서울특별시,우묵배미,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=d55781f6-896c-49d2-961a-28faefd07db2,음식,음식점,한식,975
관악구,서울특별시,관악산공원 야외식물원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=79d63973-05db-43d3-95b2-6dcdd69d305b,자연,자연관광지,수목원,780
관악구,서울특별시,관악산,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=2a9c7820-25b8-4565-ac1a-58ee94dfafb8,자연,자연관광지,산,609
관악구,서울특별시,서울대학교 박물관,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=cae80603-9b46-4ea3-b75d-7af5ffdbd242,인문(문화/예술/역사),문화시설,박물관,503
관악구,서울특별시,서울특별시교육청 과학전시관,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=3b8c42d4-1b74-4f2d-a04e-378b547cd4c8,인문(문화/예술/역사),문화시설,전시관,463
관악구,서울특별시,관악산 생태공원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=b9507108-ff9b-40a7-81d8-e0d43fb64c21,자연,자연관광지,자연생태관광지,347
관악구,서울특별시,관악산계곡,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=4ce8df08-154f-4801-a95a-e174f0f3d80f,자연,자연관광지,계곡,340
관악구,서울특별시,서울대학교 규장각,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=294b2c06-e075-453b-9ad8-6fde7a392d86,인문(문화/예술/역사),문화시설,전시관,314
관악구,서울특별시,서울시립미술관 남서울생활미술관,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=275c1756-4ef4-42be-bc83-5d0a0e3c6dfa,인문(문화/예술/역사),역사관광지,유적지/사적지,293
관악구,서울특별시,봉일시장,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=4b0cb45a-8082-4ea4-9c50-948d5cb8bcf6,쇼핑,쇼핑,상설시장,276
관악구,서울특별시,관악구민운동장,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=957f86e2-64d4-4eb1-a614-ef24a95cbb06,레포츠,육상 레포츠,경기장,254
관악구,서울특별시,강강술래 신림동,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=ed74fb2a-7eb8-456d-8fca-c46ac43cbcc6,음식,음식점,한식,252
관악구,서울특별시,관악신사시장,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=3677a2f5-c077-45e3-8297-91729ee2d2be,쇼핑,쇼핑,상설시장,245
관악구,서울특별시,봉천중앙시장,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=1e452dbd-bcbe-4229-9276-d59dd6f1a8ea,쇼핑,쇼핑,상설시장,235
관악구,서울특별시,약수사(서울),https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=f0a7471e-8d3c-4dbc-a329-f9c99d6aceae,인문(문화/예술/역사),역사관광지,사찰,234
관악구,서울특별시,우림시장,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=4a1c42e4-4ef8-4490-89e1-5dab93df9682,쇼핑,쇼핑,상설시장,232
관악구,서울특별시,관악산 자락길,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=ff1c0de5-f5cb-4dae-853c-149b11c17b7a,레포츠,육상 레포츠,트래킹,209
관악구,서울특별시,원조민속순대타운,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=15917c7e-0c2d-45ae-8d78-ea9d90ecb1a9,인문(문화/예술/역사),체험관광지,이색거리,196
관악구,서울특별시,관악산 호수공원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=ec68810a-079f-422b-b9bd-4a73d7cbce83,인문(문화/예술/역사),휴양관광지,공원,191
관악구,서울특별시,삼성동시장,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=d5e13842-79c6-4039-9944-cae90bfa7039,쇼핑,쇼핑,상설시장,191
관악구,서울특별시,스튜디오 호테노,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=9824f98e-b3c5-424f-91ef-aeb55529a6f0,인문(문화/예술/역사),체험관광지,이색체험,163
관악구,서울특별시,신림체육센터,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=83fe5d16-34b9-415a-aab5-c916626d5b59,레포츠,육상 레포츠,수련시설,153
관악구,서울특별시,인헌시장,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=82db2fb3-78fa-49aa-a6be-ed88d484ba13,쇼핑,쇼핑,상설시장,150
관악구,서울특별시,자운암(서울),https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=d36a894c-3b56-4f30-8574-9e2cc882f6e9,인문(문화/예술/역사),역사관광지,사찰,121
관악구,서울특별시,관악구 만남의광장,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=8887618f-e593-4ad8-881d-0c7681f0c331,인문(문화/예술/역사),휴양관광지,공원,119
관악구,서울특별시,신원시장,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=511a2087-89cc-4fd3-bdc1-b6a77a474743,쇼핑,쇼핑,상설시장,115
관악구,서울특별시,서울대학교 미술관,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=7850c7b0-5327-4db5-9f37-fb7782a7d0a4,인문(문화/예술/역사),문화시설,미술관/화랑,102
관악구,서울특별시,쟝블랑제리,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=2f77ea18-b934-4cea-be3a-7d319a1b1fc8,음식,음식점,카페/전통찻집,100
관악구,서울특별시,사담,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=863db2d1-2dcc-4b1e-b0af-f18f6a5ac954,음식,음식점,카페/전통찻집,99
관악구,서울특별시,온정돈까스,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=c8d8d23d-9726-4f86-a3ee-dcc245d7fca4,음식,음식점,일식,89
관악구,서울특별시,관음사(서울),https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=6232588e-b5c0-4e28-a213-abe11a58d573,인문(문화/예술/역사),역사관광지,사찰,80
관악구,서울특별시,아리차이,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=e7154c77-5a8c-436c-a957-ef8bfc8b8820,음식,음식점,중식,73
관악구,서울특별시,박재성의 메밀숯불닭갈비,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=533a5f0f-ab73-4714-be09-601f0637b6dc,음식,음식점,한식,67
관악구,서울특별시,관악문화원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=42612fc2-2a3a-436f-95c9-2de50b925d18,인문(문화/예술/역사),문화시설,문화원,66
관악구,서울특별시,명락사,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=c9025052-6874-4616-9d42-389081ba0a6c,인문(문화/예술/역사),역사관광지,사찰,64
관악구,서울특별시,정정공강사상묘역,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=1c6ebc92-61df-46a1-a017-01f3b69aaa9b,인문(문화/예술/역사),역사관광지,유적지/사적지,63
관악구,서울특별시,관음사국기봉,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=1ec07b98-150e-4410-a652-14ed18611176,자연,자연관광지,산,61
관악구,서울특별시,호림박물관,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=559a203c-94e8-4629-9230-20e300d22355,인문(문화/예술/역사),문화시설,박물관,61
관악구,서울특별시,서울 남현동 요지,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=0ba2a46f-d22c-4c00-a6fa-96f5aecad1ac,인문(문화/예술/역사),역사관광지,유적지/사적지,61
관악구,서울특별시,봉천동 마애미륵불좌상,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=a1a873f8-de7b-4796-b504-7649552ee267,인문(문화/예술/역사),역사관광지,유적지/사적지,60
관악구,서울특별시,낙타날다,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=b5b51627-f3fc-45b3-b4fc-9bfc0c3fb11d,음식,음식점,카페/전통찻집,54
관악구,서울특별시,파고,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=458cd730-3d60-4313-ba89-975fd60726a1,음식,음식점,서양식,53
관악구,서울특별시,정담은보쌈,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=d2448479-85b2-4f86-a83a-b02e4274f4ba,음식,음식점,한식,53
관악구,서울특별시,텐동요츠야,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=6978d79d-4fcd-49d3-9abf-b938152d65da,음식,음식점,일식,51
관악구,서울특별시,서울 신림동 굴참나무,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=cb523ebd-d7bd-4d00-b37b-c63cc824e546,자연,자연관광지,자연생태관광지,46
관악구,서울특별시,미가할매집,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=c2d29155-20ca-4ebb-94c8-237935368324,음식,음식점,한식,45
관악구,서울특별시,외래향 서울대점,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=2147a1a4-a410-4560-b980-93661f0e0bce,음식,음식점,중식,42
관악구,서울특별시,숯불호랑,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=668a9043-dc1a-4bb8-9c75-b883e272fd08,음식,음식점,한식,40
관악구,서울특별시,월화고기 보라매점,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=6e521333-2125-4803-b92a-1321d040c29b,음식,음식점,한식,36
관악구,서울특별시,효민공 이경직 묘역,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=266f1fe0-2840-4c68-ba1b-29b023b5e468,인문(문화/예술/역사),역사관광지,유적지/사적지,32
관악구,서울특별시,기절초풍왕순대,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=a912363d-6d62-452e-bb78-d2748de00e40,음식,음식점,한식,25
관악구,서울특별시,왕돈까스&왕냉면,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=b129c143-15e2-48fd-86cc-5b133b56a7c8,음식,음식점,한식,24
관악구,서울특별시,전라도별장순대,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=8ffe042a-c2ef-4614-b6c4-5743225388c3,음식,음식점,한식,20
관악구,서울특별시,관악청소년회관,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=9dce4787-8b3a-4878-8e84-bb879d622007,레포츠,육상 레포츠,수련시설,20
관악구,서울특별시,고창복의낙지세상 봉천점,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=cdf1463b-76fb-49dc-bd62-903e3c1f951d,음식,음식점,한식,19
관악구,서울특별시,또순이원조순대,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=6537cb7b-f6ae-4857-a184-0095aef50f58,음식,음식점,한식,18
관악구,서울특별시,삼수갑산,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=de7462a6-b908-49cc-ae68-1d1d7521d218,음식,음식점,한식,17
관악구,서울특별시,복돈이 부추삼겹살,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=e30a6d5d-b868-4290-9e58-246b1f08cb82,음식,음식점,한식,16
관악구,서울특별시,신대성각,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=51cb6a69-327e-48f5-ab77-c14ae3a27372,음식,음식점,중식,16
관악구,서울특별시,구수옥설렁탕,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=791a1730-e137-4120-9d94-c366a04a4cb3,음식,음식점,한식,15
