시군구명,시도명,관광지명,,KTO카테고리대분류명,KTO카테고리중분류명,KTO카테고리소분류명,방문자수
광진구,서울특별시,아차산,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=08631717-270b-4f47-81dc-118de3e709b5,자연,자연관광지,산,2544
광진구,서울특별시,뚝섬한강공원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=654574cc-fb6b-41da-85ea-ca7e1619cd48,인문(문화/예술/역사),휴양관광지,공원,2439
광진구,서울특별시,워커힐숲길,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=8d5043af-7b1d-410f-b71c-281e31f78ac5,레포츠,육상 레포츠,트래킹,2162
광진구,서울특별시,서울어린이대공원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=db05723f-9274-4a7b-a1b0-a5a28eba28f6,인문(문화/예술/역사),휴양관광지,테마공원,1960
광진구,서울특별시,커먼그라운드,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=425f7a59-afb1-4d89-83ca-c7ce1174777f,쇼핑,쇼핑,전문매장/상가,1648
광진구,서울특별시,광나루안전체험관,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=7e32193a-70c6-47a8-aae4-0015a79d121f,인문(문화/예술/역사),체험관광지,전통체험,1273
광진구,서울특별시,CXC아트뮤지엄,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=646e4b61-1185-45db-9690-2c7f1cfaeda2,인문(문화/예술/역사),문화시설,전시관,1081
광진구,서울특별시,중곡동 가구거리,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=1d825e89-9e51-4712-9b7a-0f0565d6503a,인문(문화/예술/역사),체험관광지,이색거리,885
광진구,서울특별시,우리유황온천,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=08733f34-b2ef-4926-855e-bc1ad8e38aec,인문(문화/예술/역사),휴양관광지,온천/욕장/스파,730
광진구,서울특별시,어린이회관 눈썰매장,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=40193f8d-c0c3-4511-bf3f-08ca28f622cc,레포츠,육상 레포츠,썰매장,700
광진구,서울특별시,그랜드 워커힐 리버파크,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=20571421-73db-4fce-8d86-bf5d04ccf6f6,레포츠,수상 레포츠,수영,615
광진구,서울특별시,강변스파랜드,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=13a67857-088d-4cc4-8fd1-683fe146969b,인문(문화/예술/역사),휴양관광지,이색찜질방,576
광진구,서울특별시,송화산시도삭면,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=8dabcfc3-3175-4401-927e-770e9c48062b,음식,음식점,중식,528
광진구,서울특별시,구의 아리수 정수센터,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=fddce92e-73ad-43af-ab59-00394ccb1855,인문(문화/예술/역사),산업관광지,기타,433
광진구,서울특별시,뚝섬 한강공원 X게임장,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=9b5b51cc-5e27-4eb8-a785-7c06a9e99082,인문(문화/예술/역사),휴양관광지,테마공원,410
광진구,서울특별시,위니아트,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=8c790410-6381-42e9-8989-64caaae1d599,인문(문화/예술/역사),문화시설,공연장,392
광진구,서울특별시,서울상상나라,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=c18bcb4a-43af-4b64-93b8-7cf8a1078a12,인문(문화/예술/역사),문화시설,전시관,377
