시군구명,시도명,관광지명,,KTO카테고리대분류명,KTO카테고리중분류명,KTO카테고리소분류명,방문자수
노원구,서울특별시,화랑대 철도공원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=82a9679e-0eb8-4539-9785-afa32bd1b649,인문(문화/예술/역사),휴양관광지,공원,7322
노원구,서울특별시,서울생활사박물관,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=6cc45655-5cf8-4e0c-9f18-932862604458,인문(문화/예술/역사),문화시설,박물관,1981
노원구,서울특별시,수락산,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=2a588f88-7f41-419e-9ddd-36d65369e355,자연,자연관광지,산,1194
노원구,서울특별시,노원 불빛정원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=8e34a385-6a34-4b6b-b5cd-f47cc6cbe6b5,자연,자연관광지,수목원,1128
노원구,서울특별시,불암산,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=aa8f551e-84db-4deb-9be4-8856c1a54cce,자연,자연관광지,산,1040
노원구,서울특별시,서울시립 북서울미술관,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=24a6158c-ed03-4dc2-86cc-274d34b249e5,인문(문화/예술/역사),문화시설,미술관/화랑,843
노원구,서울특별시,노원우주학교,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=73a11fb8-5051-4d15-b305-09e49d57f8ee,인문(문화/예술/역사),문화시설,전시관,824
노원구,서울특별시,수락산 학림사,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=eb8ce958-b999-42a0-8a40-cad20d64439f,인문(문화/예술/역사),역사관광지,사찰,776
노원구,서울특별시,경춘선숲길,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=8306ee86-10ca-402a-8fec-78e82a92ff86,레포츠,육상 레포츠,트래킹,738
노원구,서울특별시,육군사관학교,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=e258f388-c9fc-47da-acc3-4d5860ce5609,인문(문화/예술/역사),문화시설,학교,611
노원구,서울특별시,불암산나비정원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=9953a0aa-4a22-4909-b5f3-ee9a1a024a19,자연,자연관광지,자연생태관광지,512
노원구,서울특별시,피노파밀리아,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=df942696-277e-4a3c-96dd-0ee6fd219eca,자연,자연관광지,자연생태관광지,344
노원구,서울특별시,초안산캠핑장,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=e0e608c1-bf67-4931-9600-7de9f3b723fb,레포츠,육상 레포츠,야영장_오토캠핑장,339
노원구,서울특별시,태릉국제스케이트장,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=5191b626-f82f-46f1-ade1-b4649e7ebd9b,레포츠,육상 레포츠,스케이트,318
노원구,서울특별시,수락산 당고개지구 공원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=7b467454-cb8f-4e20-964f-7526dcd8d958,자연,자연관광지,자연생태관광지,318
노원구,서울특별시,감동식당,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=696a7c1e-a51f-4ec2-92e9-80dcad90da21,음식,음식점,한식,296
노원구,서울특별시,금호스포츠센터,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=0b50b4c2-bb59-4193-91f0-b021f41812b7,레포츠,육상 레포츠,수련시설,286
노원구,서울특별시,송암사,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=edcc1e1b-7f4f-485e-83ac-db3400606dae,인문(문화/예술/역사),역사관광지,사찰,261
노원구,서울특별시,상계중앙시장,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=4969befb-a759-4d94-ba07-fd0175932405,쇼핑,쇼핑,상설시장,247
노원구,서울특별시,제일콩집,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=3e29f9c7-823c-4d44-9370-3e635f21bdcf,음식,음식점,한식,234
노원구,서울특별시,공릉동도깨비시장,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=22ef8bdb-2a44-43c3-b5d0-366fc7f5f58d,쇼핑,쇼핑,상설시장,232
노원구,서울특별시,풍미연,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=1e361c99-8f8e-4bbd-a042-62b4c80f4741,음식,음식점,한식,229
노원구,서울특별시,엄마손칼국수,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=6a6d1b02-378f-4393-b1f2-d54d98306a93,음식,음식점,한식,228
노원구,서울특별시,전민규의황제누룽지탕 노원직영점,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=8b5d84fb-4d3f-45f3-a716-1bd03526ee20,음식,음식점,한식,226
노원구,서울특별시,피노파밀리아,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=df942696-277e-4a3c-96dd-0ee6fd219eca,인문(문화/예술/역사),휴양관광지,테마공원,223
