시군구명,시도명,관광지명,Unnamed: 3,KTO카테고리대분류명,KTO카테고리중분류명,KTO카테고리소분류명,방문자수,맛집정보,숙박정보
강남구,서울특별시,스타필드 코엑스몰,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=1c9a8770-2bbd-4b23-8b87-00ba2388dba4,쇼핑,쇼핑,전문매장/상가,5165,"[('수백당 삼성점 24시', '국밥'), ('명우돈가', '소고기구이'), ('루아', '이자카야'), ('김이정 숯불구이', '육류,고기요리'), ('동어동락 삼성본점', '생선회'), ('남천1번국밥 삼성점', '순대,순댓국'), ('팀호완 삼성점', '딤섬,중식만두'), ('아그라 코엑스점', '인도음식')]","[('인터컨티넨탈 서울 코엑스', '호텔'), ('오크우드 프리미어 코엑스 센터', '호텔'), ('호텔 페이토 삼성', '호텔'), ('그랜드 인터컨티넨탈 서울 파르나스', '호텔'), ('유리앤호텔', '호텔'), ('더갤러리832라운지', '레지던스')]"
강남구,서울특별시,봉은사(서울),https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=eba1cc70-dbed-4b31-b61b-5292d7eabe77,인문(문화/예술/역사),역사관광지,사찰,3278,"[('팀호완 삼성점', '딤섬,중식만두'), ('매드포갈릭 봉은사 아이파크타워점', '이탈리아음식'), ('인터컨티넨탈 서울 코엑스 브래서리', '뷔페'), ('봉은사 서래원', '한식'), ('써브웨이 봉은사역점', '샌드위치'), ('샐러디 봉은사역점', '다이어트,샐러드')]","[('그랜드 인터컨티넨탈 서울 파르나스', '호텔'), ('인터컨티넨탈 서울 코엑스', '호텔'), ('신라스테이 삼성', '호텔'), ('글래드 강남 코엑스센터', '호텔'), ('파크 하얏트 서울', '호텔'), ('오크우드 프리미어 코엑스 센터', '호텔')]"
강남구,서울특별시,신사동 가로수길,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=0cab1914-ca4c-44aa-94ee-6a0f3278f394,인문(문화/예술/역사),체험관광지,이색체험,2643,"[('갓포우오', '이자카야'), ('목구멍 가로수길점', '육류,고기요리'), ('샤블리 신사본점', '샤브샤브'), ('중화객잔수 압구정점', '중식당'), ('램브라튼', '육류,고기요리'), ('후라토식당 신사점', '일식당'), ('메리고라운드 스테이크', '양식'), ('골드참치', '생선회')]","[('안테룸 서울', '호텔'), ('포포인츠 바이 쉐라톤 서울 강남', '호텔'), ('제이지하우스', '게스트하우스'), ('호텔선샤인 서울', '호텔'), ('라까사호텔 서울', '호텔'), ('가로수스테이', '게스트하우스')]"
강남구,서울특별시,별마당도서관,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=aa797d0c-4fa7-46e3-99d9-cc32bfc58ad6,인문(문화/예술/역사),문화시설,도서관,2093,"[('빌리엔젤 삼성코엑스점', '케이크전문')]","[('인터컨티넨탈 서울 코엑스', '호텔'), ('오크우드 프리미어 코엑스 센터', '호텔'), ('호텔 페이토 삼성', '호텔'), ('그랜드 인터컨티넨탈 서울 파르나스', '호텔'), ('유리앤호텔', '호텔'), ('더갤러리832라운지', '레지던스')]"
강남구,서울특별시,풍월당,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=9dcb88b0-3051-41fb-8dd8-a741fbf7c059,쇼핑,쇼핑,전문매장/상가,1589,"[('풍월당', '찌개,전골')]","[('G모텔', '모텔'), ('브라운도트호텔 서창점', '호텔'), ('씨스타모텔', '모텔'), ('소만모텔', '모텔'), ('황토방모텔', '모텔'), ('대운산모텔', '모텔')]"
강남구,서울특별시,압구정 로데오거리,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=4a391914-a489-4214-85ac-dbeb2c7af328,인문(문화/예술/역사),체험관광지,이색체험,1489,"[('미래회관 압구정점', '돼지고기구이'), ('한솥도시락 청담플래그십', '도시락,컵밥'), ('압구정도롱뇽', '요리주점'), ('플르서라구뜨', '브런치'), ('초심 압구정로데오점', '요리주점'), ('피플더테라스', '양식'), ('까폼', '태국음식'), ('아따 압구정점', '한식')]","[('호텔리베라 아노블리', '호텔'), ('프린세스호텔', '호텔'), ('미미미 펜트하우스', '게스트하우스'), ('호텔엔트라', '호텔'), ('라비타호텔', '호텔'), ('청춘호텔', '호텔')]"
강남구,서울특별시,송은,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=4482d173-7163-4e1c-834c-e764bbe9b0ca,인문(문화/예술/역사),문화시설,미술관/화랑,893,"[('송은횟집', '생선회'), ('송은닭내장', '한식'), ('송은반점', '중식당'), ('송은식당', '한식')]","[('인터컨티넨탈 서울 코엑스', '호텔'), ('호텔리베라', '호텔'), ('안다즈 서울강남', '호텔'), ('아난티 앳 강남', '호텔'), ('노던아크리조트', '기타숙박업'), ('임피리얼 팰리스 서울(휴업)', '호텔')]"
강남구,서울특별시,논현 가구거리,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=8676471d-a577-491e-8255-e1f99b46dc00,인문(문화/예술/역사),체험관광지,이색거리,772,"[('수백당 삼성점 24시', '국밥'), ('일두한우정육식당', '육류,고기요리'), ('판교집 학동직영점', '소고기구이'), ('샤블리 신사본점', '샤브샤브'), ('회식의달인 신논현점', '육류,고기요리'), ('모우리 한우', '소고기구이'), ('구퉁이 논현점', '육류,고기요리'), ('봄의정원 가로수길점', '양식')]","[('아난티 앳 강남', '호텔'), ('안테룸 서울', '호텔'), ('보코서울강남', '호텔'), ('화이트 린넨 하우스', '호텔'), ('하이랜드호텔', '모텔'), ('썬시티 게스트하우스', '게스트하우스')]"
강남구,서울특별시,풍월당,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=9dcb88b0-3051-41fb-8dd8-a741fbf7c059,레포츠,육상 레포츠,스키(보드) 렌탈샵,689,"[('풍월당', '찌개,전골')]","[('G모텔', '모텔'), ('브라운도트호텔 서창점', '호텔'), ('씨스타모텔', '모텔'), ('소만모텔', '모텔'), ('황토방모텔', '모텔'), ('대운산모텔', '모텔')]"
강남구,서울특별시,강남,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=1805e874-d89f-422d-bcbd-fa8ac33c30a8,인문(문화/예술/역사),체험관광지,이색체험,542,"[('목구멍 가로수길점', '육류,고기요리'), ('강삼가든', '육류,고기요리'), ('구구당', '퓨전음식'), ('바비레드 강남본점', '이탈리아음식'), ('영차떡볶이', '떡볶이'), ('도쿄사이카보 청담본점', '일식당'), ('판교집 학동직영점', '소고기구이'), ('압구정도롱뇽', '요리주점')]","[('그랜드 인터컨티넨탈 서울 파르나스', '호텔'), ('조선 팰리스 서울 강남', '호텔'), ('인터컨티넨탈 서울 코엑스', '호텔'), ('노보텔 앰배서더 서울 강남', '호텔'), ('신라스테이 삼성', '호텔'), ('글래드 강남 코엑스센터', '호텔')]"
