관광지명,음식점명,URL
경희대학교 자연사박물관,도읍지,https://www.google.com/maps/place/%EB%8F%84%EC%9D%8D%EC%A7%80/data=!4m7!3m6!1s0x357cbb6fb6b71271:0x85be1f828402cab8!8m2!3d37.5930329!4d127.0530448!16s%2Fg%2F1tc_tjxf!19sChIJcRK3tm-7fDURuMoChIIfvoU?authuser=0&hl=ko&rclk=1
경희대학교 자연사박물관,인생설렁탕,https://www.google.com/maps/place/%EC%9D%B8%EC%83%9D%EC%84%A4%EB%A0%81%ED%83%95/data=!4m7!3m6!1s0x357cbb0388ecc57b:0x76e29fe93b970c3a!8m2!3d37.5923435!4d127.0522767!16s%2Fg%2F11fn76610n!19sChIJe8XsiAO7fDUROgyXO-mf4nY?authuser=0&hl=ko&rclk=1
경희대학교 자연사박물관,푸른하늘,https://www.google.com/maps/place/%ED%91%B8%EB%A5%B8%ED%95%98%EB%8A%98/data=!4m7!3m6!1s0x357cbb6fc9151eff:0x36e1ea7cd04379a3!8m2!3d37.593505!4d127.0530256!16s%2Fg%2F11f0_fpyj_!19sChIJ_x4VyW-7fDURo3lD0Hzq4TY?authuser=0&hl=ko&rclk=1
경희대학교 자연사박물관,키친 요로시쿠,https://www.google.com/maps/place/%ED%82%A4%EC%B9%9C+%EC%9A%94%EB%A1%9C%EC%8B%9C%EC%BF%A0/data=!4m7!3m6!1s0x357cbbe5c239d541:0x575e15e2452ff173!8m2!3d37.5932835!4d127.0529755!16s%2Fg%2F11hz2bnqdf!19sChIJQdU5wuW7fDURc_EvReIVXlc?authuser=0&hl=ko&rclk=1
경희대학교 자연사박물관,거복이식당,https://www.google.com/maps/place/%EA%B1%B0%EB%B3%B5%EC%9D%B4%EC%8B%9D%EB%8B%B9/data=!4m7!3m6!1s0x357cbb8a31286b55:0xb9d92f00a46ad4d!8m2!3d37.5927625!4d127.05216!16s%2Fg%2F11ns3fb_tz!19sChIJVWsoMYq7fDURTa1GCvCSnQs?authuser=0&hl=ko&rclk=1
경희대학교 자연사박물관,백소정 경희대점,https://www.google.com/maps/place/%EB%B0%B1%EC%86%8C%EC%A0%95+%EA%B2%BD%ED%9D%AC%EB%8C%80%EC%A0%90/data=!4m7!3m6!1s0x357cbb8b4485e169:0xff07dbbbf87ef937!8m2!3d37.5932955!4d127.0527845!16s%2Fg%2F11t6yypj38!19sChIJaeGFRIu7fDURN_l--LvbB_8?authuser=0&hl=ko&rclk=1
서울약령시 한의약박물관,감초식당,https://www.google.com/maps/place/%EA%B0%90%EC%B4%88%EC%8B%9D%EB%8B%B9/data=!4m7!3m6!1s0x357cbca91e6ca21b:0x50bab947d1484ef3!8m2!3d37.5797318!4d127.0362824!16s%2Fg%2F11cs8kcnkw!19sChIJG6JsHqm8fDUR805I0Ue5ulA?authuser=0&hl=ko&rclk=1
서울약령시 한의약박물관,경동 연탄불 돼지갈비,https://www.google.com/maps/place/%EA%B2%BD%EB%8F%99+%EC%97%B0%ED%83%84%EB%B6%88+%EB%8F%BC%EC%A7%80%EA%B0%88%EB%B9%84/data=!4m7!3m6!1s0x357cbde2442a1137:0x8b078ff7d49f9e16!8m2!3d37.579973!4d127.03642!16s%2Fg%2F11fkvwv80j!19sChIJNxEqROK9fDURFp6f1PePB4s?authuser=0&hl=ko&rclk=1
서울약령시 한의약박물관,안동집 손칼국시,https://www.google.com/maps/place/%EC%95%88%EB%8F%99%EC%A7%91+%EC%86%90%EC%B9%BC%EA%B5%AD%EC%8B%9C/data=!4m7!3m6!1s0x357cbca83b69f8a1:0xf3dd80558526428!8m2!3d37.5795266!4d127.0392775!16s%2Fg%2F11c6q8r9nc!19sChIJofhpO6i8fDURKGRSWAXYPQ8?authuser=0&hl=ko&rclk=1
서울약령시 한의약박물관,이천농장한우전문,https://www.google.com/maps/place/%EC%9D%B4%EC%B2%9C%EB%86%8D%EC%9E%A5%ED%95%9C%EC%9A%B0%EC%A0%84%EB%AC%B8/data=!4m7!3m6!1s0x357cbde75e5c417b:0x604f932149d25f33!8m2!3d37.5786203!4d127.0374222!16s%2Fg%2F11tp5lyqr2!19sChIJe0FcXue9fDURM1_SSSGTT2A?authuser=0&hl=ko&rclk=1
서울약령시 한의약박물관,풍년오리,https://www.google.com/maps/place/%ED%92%8D%EB%85%84%EC%98%A4%EB%A6%AC/data=!4m7!3m6!1s0x357cbca876513859:0xbd75e0e705cbd270!8m2!3d37.5812858!4d127.0382155!16s%2Fg%2F1jkw0qdy1!19sChIJWThRdqi8fDURcNLLBefgdb0?authuser=0&hl=ko&rclk=1
청량리수산시장,총각회수산,https://www.google.com/maps/place/%EC%B4%9D%EA%B0%81%ED%9A%8C%EC%88%98%EC%82%B0/data=!4m7!3m6!1s0x357cbb59b8a7fc03:0xf18cdc734169577f!8m2!3d37.5806123!4d127.0433568!16s%2Fg%2F1q5bsvkj9!19sChIJA_ynuFm7fDURf1dpQXPcjPE?authuser=0&hl=ko&rclk=1
청량리수산시장,다퍼줘,https://www.google.com/maps/place/%EB%8B%A4%ED%8D%BC%EC%A4%98/data=!4m7!3m6!1s0x357cbb96c091e121:0x5e8860e0a222caa!8m2!3d37.5789533!4d127.0404679!16s%2Fg%2F11q7fw1q0f!19sChIJIeGRwJa7fDURqiwiCg6G6AU?authuser=0&hl=ko&rclk=1
