관광지명,음식점명,URL
고구동산길,도시주방 3호점,https://www.google.com/maps/place/%EB%8F%84%EC%8B%9C%EC%A3%BC%EB%B0%A9+3%ED%98%B8%EC%A0%90/data=!4m7!3m6!1s0x357ca134e492edbd:0x6c454ad68e665d7a!8m2!3d37.5055666!4d127.0051244!16s%2Fg%2F11rj64hybt!19sChIJve2S5DShfDURel1mjtZKRWw?authuser=0&hl=ko&rclk=1
고구동산길,효자동맛집,https://www.google.com/maps/place/%ED%9A%A8%EC%9E%90%EB%8F%99%EB%A7%9B%EC%A7%91/data=!4m7!3m6!1s0x357ca2be1ac84dc3:0x84d12e53e88223fc!8m2!3d37.5787388!4d126.9709302!16s%2Fg%2F1q5bvxmn6!19sChIJw03IGr6ifDUR_COC6FMu0YQ?authuser=0&hl=ko&rclk=1
노들나루공원,롤러와,https://www.google.com/maps/place/%EB%A1%A4%EB%9F%AC%EC%99%80/data=!4m7!3m6!1s0x357c9fb03a51b167:0x19457780d3196531!8m2!3d37.5123243!4d126.9517867!16s%2Fg%2F11lfbh6hgc!19sChIJZ7FROrCffDURMWUZ04B3RRk?authuser=0&hl=ko&rclk=1
노들나루공원,한강손칼국수,https://www.google.com/maps/place/%ED%95%9C%EA%B0%95%EC%86%90%EC%B9%BC%EA%B5%AD%EC%88%98/data=!4m7!3m6!1s0x357ca10066a18249:0xdec4a1ba74132951!8m2!3d37.5130739!4d126.9563641!16s%2Fg%2F11j0cwggby!19sChIJSYKhZgChfDURUSkTdLqhxN4?authuser=0&hl=ko&rclk=1
노들나루공원,천하일(텐카이치),https://www.google.com/maps/place/%EC%B2%9C%ED%95%98%EC%9D%BC%28%ED%85%90%EC%B9%B4%EC%9D%B4%EC%B9%98%29/data=!4m7!3m6!1s0x357c9f67af61ae43:0x80dca9a7733160c0!8m2!3d37.5118333!4d126.9456142!16s%2Fg%2F11c5sxrf28!19sChIJQ65hr2effDURwGAxc6ep3IA?authuser=0&hl=ko&rclk=1
노들나루공원,제주흑돼지소금구이 우정3호점,https://www.google.com/maps/place/%EC%A0%9C%EC%A3%BC%ED%9D%91%EB%8F%BC%EC%A7%80%EC%86%8C%EA%B8%88%EA%B5%AC%EC%9D%B4+%EC%9A%B0%EC%A0%953%ED%98%B8%EC%A0%90/data=!4m7!3m6!1s0x357c9f67c0642f55:0x956f35f8deafbe02!8m2!3d37.5122887!4d126.9444128!16s%2Fg%2F119w_9csz!19sChIJVS9kwGeffDURAr6v3vg1b5U?authuser=0&hl=ko&rclk=1
노들나루공원,대한해물,https://www.google.com/maps/place/%EB%8C%80%ED%95%9C%ED%95%B4%EB%AC%BC/data=!4m7!3m6!1s0x357c9f67c60c7eb5:0xb6144960a2f3f40d!8m2!3d37.5123476!4d126.9443888!16s%2Fg%2F11ckdhf5pf!19sChIJtX4MxmeffDURDfTzomBJFLY?authuser=0&hl=ko&rclk=1
CTS아트홀,순천집-새조개샤브,https://www.google.com/maps/place/%EC%88%9C%EC%B2%9C%EC%A7%91-%EC%83%88%EC%A1%B0%EA%B0%9C%EC%83%A4%EB%B8%8C/data=!4m7!3m6!1s0x357c9f3f00000001:0xfffc29126714d614!8m2!3d37.5129988!4d126.934886!16s%2Fg%2F11lf_n0nv7!19sChIJAQAAAD-ffDURFNYUZxIp_P8?authuser=0&hl=ko&rclk=1
CTS아트홀,충남식당,https://www.google.com/maps/place/%EC%B6%A9%EB%82%A8%EC%8B%9D%EB%8B%B9/data=!4m7!3m6!1s0x357c9f6a351ac6df:0xa6c8fdc22e3983f7!8m2!3d37.5144828!4d126.9370209!16s%2Fg%2F1thmhy7v!19sChIJ38YaNWqffDUR94M5LsL9yKY?authuser=0&hl=ko&rclk=1
CTS아트홀,흑산도소라집,https://www.google.com/maps/place/%ED%9D%91%EC%82%B0%EB%8F%84%EC%86%8C%EB%9D%BC%EC%A7%91/data=!4m7!3m6!1s0x357c9f69bd12ec43:0x3496b14a0ece813f!8m2!3d37.5097711!4d126.9400514!16s%2Fg%2F11gzr_xd35!19sChIJQ-wSvWmffDURP4HODkqxljQ?authuser=0&hl=ko&rclk=1
