관광지명,음식점명,URL
서울 선릉과 정릉,샹베리,https://www.google.com/maps/place/%EC%83%B9%EB%B2%A0%EB%A6%AC/data=!4m7!3m6!1s0x357ca4092ad4302f:0x87e9719c410fbdd!8m2!3d37.5074142!4d127.0453827!16s%2Fg%2F11bzs4bb97!19sChIJLzDUKgmkfDUR3fsQxBmXfgg?authuser=0&hl=ko&rclk=1
서울 선릉과 정릉,인평일등추어탕 선릉역점,https://www.google.com/maps/place/%EC%9D%B8%ED%8F%89%EC%9D%BC%EB%93%B1%EC%B6%94%EC%96%B4%ED%83%95+%EC%84%A0%EB%A6%89%EC%97%AD%EC%A0%90/data=!4m7!3m6!1s0x357ca4092c40ecfd:0x4d715d14bfe7705a!8m2!3d37.5080136!4d127.0448769!16s%2Fg%2F11c0tmx_pb!19sChIJ_exALAmkfDURWnDnvxRdcU0?authuser=0&hl=ko&rclk=1
서울 선릉과 정릉,맛자랑,https://www.google.com/maps/place/%EB%A7%9B%EC%9E%90%EB%9E%91/data=!4m7!3m6!1s0x357ca50d02e85841:0x74699a5d07f6cac2!8m2!3d37.5065947!4d127.0483418!16s%2Fg%2F11nn4520fd!19sChIJQVjoAg2lfDURwsr2B12aaXQ?authuser=0&hl=ko&rclk=1
서울 선릉과 정릉,잇쇼우,https://www.google.com/maps/place/%EC%9E%87%EC%87%BC%EC%9A%B0/data=!4m7!3m6!1s0x357ca40e5133aca9:0x7716f8089315d4a0!8m2!3d37.506721!4d127.04834!16s%2Fg%2F11f15lhb27!19sChIJqawzUQ6kfDURoNQVkwj4Fnc?authuser=0&hl=ko&rclk=1
서울 선릉과 정릉,월정,https://www.google.com/maps/place/%EC%9B%94%EC%A0%95/data=!4m7!3m6!1s0x357ca40ef880f049:0xd07591a33ff24932!8m2!3d37.5067397!4d127.0482374!16s%2Fg%2F1tgz88zk!19sChIJSfCA-A6kfDURMknyP6ORddA?authuser=0&hl=ko&rclk=1
마루공원,누렁국수(맛있는국수집),https://www.google.com/maps/place/%EB%88%84%EB%A0%81%EA%B5%AD%EC%88%98%28%EB%A7%9B%EC%9E%88%EB%8A%94%EA%B5%AD%EC%88%98%EC%A7%91%29/data=!4m7!3m6!1s0x357ca5567fd266a5:0xc0cc65b271a3c0cb!8m2!3d37.4948704!4d127.0840442!16s%2Fg%2F11sgn09trb!19sChIJpWbSf1alfDURy8CjcbJlzMA?authuser=0&hl=ko&rclk=1
마루공원,동보성,https://www.google.com/maps/place/%EB%8F%99%EB%B3%B4%EC%84%B1/data=!4m7!3m6!1s0x357ca5c84243b00d:0x66656730fd102eb6!8m2!3d37.4951749!4d127.0847962!16s%2Fg%2F11h8bj2lmw!19sChIJDbBDQsilfDURti4Q_TBnZWY?authuser=0&hl=ko&rclk=1
마루공원,공원분식,https://www.google.com/maps/place/%EA%B3%B5%EC%9B%90%EB%B6%84%EC%8B%9D/data=!4m7!3m6!1s0x357ca5e7d349b023:0x8411d28d3e6657ee!8m2!3d37.4914235!4d127.0820248!16s%2Fg%2F11j005flb3!19sChIJI7BJ0-elfDUR7ldmPo3SEYQ?authuser=0&hl=ko&rclk=1
마루공원,대청뼈다귀감자탕,https://www.google.com/maps/place/%EB%8C%80%EC%B2%AD%EB%BC%88%EB%8B%A4%EA%B7%80%EA%B0%90%EC%9E%90%ED%83%95/data=!4m7!3m6!1s0x357ca5d2c7ecd701:0x8e3f2ff5e712a36f!8m2!3d37.4897913!4d127.0837116!16s%2Fg%2F1q5bwqshg!19sChIJAdfsx9KlfDURb6MS5_UvP44?authuser=0&hl=ko&rclk=1
마루공원,효미역,https://www.google.com/maps/place/%ED%9A%A8%EB%AF%B8%EC%97%AD/data=!4m7!3m6!1s0x357ca558607f661b:0x909c9dafce46bcad!8m2!3d37.4860199!4d127.0988459!16s%2Fg%2F11h15xd7ff!19sChIJG2Z_YFilfDURrbxGzq-dnJA?authuser=0&hl=ko&rclk=1
