관광지명,숙박시설명,URL
신창시장,수유문모텔,https://www.google.com/maps/place/%EC%88%98%EC%9C%A0%EB%AC%B8%EB%AA%A8%ED%85%94/data=!4m10!3m9!1s0x357cbc054fa9e495:0x92ff5f8f8a660ce3!5m2!4m1!1i2!8m2!3d37.6405087!4d127.0298258!16s%2Fg%2F11j1g5350s!19sChIJleSpTwW8fDUR4wxmio9f_5I?authuser=0&hl=ko&rclk=1
신창시장,Suyu Hotel 365,https://www.google.com/maps/place/Suyu+Hotel+365/data=!4m10!3m9!1s0x357cbc11644d56f3:0xee4918a69233577!5m2!4m1!1i2!8m2!3d37.637105!4d127.025733!16s%2Fg%2F11px73qcf3!19sChIJ81ZNZBG8fDURdzUjaYqR5A4?authuser=0&hl=ko&rclk=1
신창시장,디자인호텔다니엘캄파넬라,https://www.google.com/maps/place/%EB%94%94%EC%9E%90%EC%9D%B8%ED%98%B8%ED%85%94%EB%8B%A4%EB%8B%88%EC%97%98%EC%BA%84%ED%8C%8C%EB%84%AC%EB%9D%BC/data=!4m10!3m9!1s0x357cbc116e43ca45:0x4080ca9fc345aab1!5m2!4m1!1i2!8m2!3d37.6374378!4d127.0257528!16s%2Fg%2F11cpn8cqpp!19sChIJRcpDbhG8fDURsapFw5_KgEA?authuser=0&hl=ko&rclk=1
신창시장,Hotel Classy,https://www.google.com/maps/place/Hotel+Classy/data=!4m10!3m9!1s0x357cbc138dbb641d:0x4e9f22e73dcf1be!5m2!4m1!1i2!8m2!3d37.635788!4d127.024495!16s%2Fg%2F11tn_xjcl9!19sChIJHWS7jRO8fDURvvHccy7y6QQ?authuser=0&hl=ko&rclk=1
신창시장,수유 르씨엘 (Suyu le Ciel),https://www.google.com/maps/place/%EC%88%98%EC%9C%A0+%EB%A5%B4%EC%94%A8%EC%97%98+%28Suyu+le+Ciel%29/data=!4m10!3m9!1s0x357cbc1150d8ee31:0xc6a7f992869a09e1!5m2!4m1!1i2!8m2!3d37.6374714!4d127.024463!16s%2Fg%2F1tfkcjkr!19sChIJMe7YUBG8fDUR4QmahpL5p8Y?authuser=0&hl=ko&rclk=1
둘리뮤지엄,Dobong Guesthouse,https://www.google.com/maps/place/Dobong+Guesthouse/data=!4m10!3m9!1s0x357cbeafc28cdcd1:0xa0aa24150344dc4c!5m2!4m1!1i2!8m2!3d37.6572!4d127.03072!16s%2Fg%2F11b73qdn3r!19sChIJ0dyMwq--fDURTNxEAxUkqqA?authuser=0&hl=ko&rclk=1
둘리뮤지엄,리치다이아몬드호텔,https://www.google.com/maps/place/%EB%A6%AC%EC%B9%98%EB%8B%A4%EC%9D%B4%EC%95%84%EB%AA%AC%EB%93%9C%ED%98%B8%ED%85%94/data=!4m10!3m9!1s0x357cbc23abe4f573:0xc5efce830dd9c1ec!5m2!4m1!1i2!8m2!3d37.6477699!4d127.0156196!16s%2Fg%2F1q5btwrrv!19sChIJc_XkqyO8fDUR7MHZDYPO78U?authuser=0&hl=ko&rclk=1
둘리뮤지엄,도봉 호텔 베이 204,https://www.google.com/maps/place/%EB%8F%84%EB%B4%89+%ED%98%B8%ED%85%94+%EB%B2%A0%EC%9D%B4+204/data=!4m10!3m9!1s0x357cb933916b2daf:0x407bdd6fc21275c0!5m2!4m1!1i2!8m2!3d37.6678!4d127.04362!16s%2Fg%2F11f4wtvnq_!19sChIJry1rkTO5fDURwHUSwm_de0A?authuser=0&hl=ko&rclk=1
둘리뮤지엄,Chang-dong Themes,https://www.google.com/maps/place/Chang-dong+Themes/data=!4m10!3m9!1s0x357cb952abb74c8f:0x835fe8635c6d348!5m2!4m1!1i2!8m2!3d37.654235!4d127.040265!16s%2Fg%2F11ng4hxdhm!19sChIJj0y3q1K5fDURSNPGNYb-NQg?authuser=0&hl=ko&rclk=1
둘리뮤지엄,디자인호텔다니엘캄파넬라,https://www.google.com/maps/place/%EB%94%94%EC%9E%90%EC%9D%B8%ED%98%B8%ED%85%94%EB%8B%A4%EB%8B%88%EC%97%98%EC%BA%84%ED%8C%8C%EB%84%AC%EB%9D%BC/data=!4m10!3m9!1s0x357cbc116e43ca45:0x4080ca9fc345aab1!5m2!4m1!1i2!8m2!3d37.6374378!4d127.0257528!16s%2Fg%2F11cpn8cqpp!19sChIJRcpDbhG8fDURsapFw5_KgEA?authuser=0&hl=ko&rclk=1
