관광지명,숙박시설명,URL
세종대왕박물관,동부모텔,https://www.google.com/maps/place/%EB%8F%99%EB%B6%80%EB%AA%A8%ED%85%94/data=!4m10!3m9!1s0x357cbb5eb5ba7891:0x9f851f2ac668ed23!5m2!4m1!1i2!8m2!3d37.5840653!4d127.0441214!16s%2Fg%2F1tjbq358!19sChIJkXi6tV67fDURI-1oxiofhZ8?authuser=0&hl=ko&rclk=1
세종대왕박물관,동보모텔,https://www.google.com/maps/place/%EB%8F%99%EB%B3%B4%EB%AA%A8%ED%85%94/data=!4m10!3m9!1s0x357cbd7510be7ce7:0xe6b3a52ae29d0898!5m2!4m1!1i2!8m2!3d37.5893279!4d127.0369687!16s%2Fg%2F11ss7nyyv7!19sChIJ53y-EHW9fDURmAid4iqls-Y?authuser=0&hl=ko&rclk=1
세종대왕박물관,호스텔코리아 오리지널,https://www.google.com/maps/place/%ED%98%B8%EC%8A%A4%ED%85%94%EC%BD%94%EB%A6%AC%EC%95%84+%EC%98%A4%EB%A6%AC%EC%A7%80%EB%84%90/data=!4m10!3m9!1s0x357ca34a03a04735:0x8cf9fc91a6946220!5m2!4m1!1i2!8m2!3d37.5755416!4d127.0204658!16s%2Fg%2F1tf73gn8!19sChIJNUegA0qjfDURIGKUppH8-Yw?authuser=0&hl=ko&rclk=1
세종대왕박물관,발리,https://www.google.com/maps/place/%EB%B0%9C%EB%A6%AC/data=!4m10!3m9!1s0x357cbb6934a48b2f:0xe39d0c63475b00e4!5m2!4m1!1i2!8m2!3d37.5892706!4d127.0544825!16s%2Fg%2F1tk6n8lg!19sChIJL4ukNGm7fDUR5ABbR2MMneM?authuser=0&hl=ko&rclk=1
세종대왕박물관,미주여관,https://www.google.com/maps/place/%EB%AF%B8%EC%A3%BC%EC%97%AC%EA%B4%80/data=!4m10!3m9!1s0x357cbb5d4ee04ebb:0xe6259fa3f0ef12d2!5m2!4m1!1i2!8m2!3d37.58545!4d127.05027!16s%2Fg%2F11g20kby7n!19sChIJu07gTl27fDUR0hLv8KOfJeY?authuser=0&hl=ko&rclk=1
김희수기념수림아트센터,신라스테이 구로,https://www.google.com/maps/place/%EC%8B%A0%EB%9D%BC%EC%8A%A4%ED%85%8C%EC%9D%B4+%EA%B5%AC%EB%A1%9C/data=!4m10!3m9!1s0x357c9e316a596c83:0x4cc6e205eceeeeec!5m2!4m1!1i2!8m2!3d37.4856829!4d126.9042814!16s%2Fg%2F11clkmyr10!19sChIJg2xZajGefDUR7O7u7AXixkw?authuser=0&hl=ko&rclk=1
경희대학교 중앙박물관,경희대 호텔 자자,https://www.google.com/maps/place/%EA%B2%BD%ED%9D%AC%EB%8C%80+%ED%98%B8%ED%85%94+%EC%9E%90%EC%9E%90/data=!4m10!3m9!1s0x357cbb6eb4b7ae0b:0xd1d69940f894951b!5m2!4m1!1i2!8m2!3d37.589128!4d127.055052!16s%2Fg%2F11vbt7ctss!19sChIJC663tG67fDURG5WU-ECZ1tE?authuser=0&hl=ko&rclk=1
경희대학교 중앙박물관,호텔 유니크 바이 포레,https://www.google.com/maps/place/%ED%98%B8%ED%85%94+%EC%9C%A0%EB%8B%88%ED%81%AC+%EB%B0%94%EC%9D%B4+%ED%8F%AC%EB%A0%88/data=!4m10!3m9!1s0x357cbba1c2bd863d:0x986c070630cb9894!5m2!4m1!1i2!8m2!3d37.6037114!4d127.0622534!16s%2Fg%2F1hjg_7mn1!19sChIJPYa9wqG7fDURlJjLMAYHbJg?authuser=0&hl=ko&rclk=1
경희대학교 중앙박물관,발리,https://www.google.com/maps/place/%EB%B0%9C%EB%A6%AC/data=!4m10!3m9!1s0x357cbb6934a48b2f:0xe39d0c63475b00e4!5m2!4m1!1i2!8m2!3d37.5892706!4d127.0544825!16s%2Fg%2F1tk6n8lg!19sChIJL4ukNGm7fDUR5ABbR2MMneM?authuser=0&hl=ko&rclk=1
경희대학교 중앙박물관,모우,https://www.google.com/maps/place/%EB%AA%A8%EC%9A%B0/data=!4m10!3m9!1s0x357cbb7256888c93:0x874c0130fcf263c0!5m2!4m1!1i2!8m2!3d37.5943785!4d127.0586371!16s%2Fg%2F11gnrxk18z!19sChIJk4yIVnK7fDURwGPy_DABTIc?authuser=0&hl=ko&rclk=1
경희대학교 중앙박물관,호텔라하,https://www.google.com/maps/place/%ED%98%B8%ED%85%94%EB%9D%BC%ED%95%98/data=!4m10!3m9!1s0x357cbba0306ecd7f:0xa4814732c3cf4f25!5m2!4m1!1i2!8m2!3d37.6020797!4d127.0622329!16s%2Fg%2F11h_wxy79b!19sChIJf81uMKC7fDURJU_PwzJHgaQ?authuser=0&hl=ko&rclk=1
청량종합도매시장,동부모텔,https://www.google.com/maps/place/%EB%8F%99%EB%B6%80%EB%AA%A8%ED%85%94/data=!4m10!3m9!1s0x357cbb5eb5ba7891:0x9f851f2ac668ed23!5m2!4m1!1i2!8m2!3d37.5840653!4d127.0441214!16s%2Fg%2F1tjbq358!19sChIJkXi6tV67fDURI-1oxiofhZ8?authuser=0&hl=ko&rclk=1
청량종합도매시장,동보모텔,https://www.google.com/maps/place/%EB%8F%99%EB%B3%B4%EB%AA%A8%ED%85%94/data=!4m10!3m9!1s0x357cbd7510be7ce7:0xe6b3a52ae29d0898!5m2!4m1!1i2!8m2!3d37.5893279!4d127.0369687!16s%2Fg%2F11ss7nyyv7!19sChIJ53y-EHW9fDURmAid4iqls-Y?authuser=0&hl=ko&rclk=1
청량종합도매시장,서울앤호텔 동대문,https://www.google.com/maps/place/%EC%84%9C%EC%9A%B8%EC%95%A4%ED%98%B8%ED%85%94+%EB%8F%99%EB%8C%80%EB%AC%B8/data=!4m10!3m9!1s0x357ca3499b3bd4fd:0xf3730cbaa9e9b91b!5m2!4m1!1i2!8m2!3d37.5732747!4d127.0208022!16s%2Fg%2F11dfdgy2zh!19sChIJ_dQ7m0mjfDURG7npqboMc_M?authuser=0&hl=ko&rclk=1
청량종합도매시장,청량리 동아,https://www.google.com/maps/place/%EC%B2%AD%EB%9F%89%EB%A6%AC+%EB%8F%99%EC%95%84/data=!4m10!3m9!1s0x357cbb597b12cbd9:0xbc9711bd001c9b74!5m2!4m1!1i2!8m2!3d37.5817209!4d127.0449804!16s%2Fg%2F11pcl5c0rt!19sChIJ2csSe1m7fDURdJscAL0Rl7w?authuser=0&hl=ko&rclk=1
청량종합도매시장,호텔 더 디자이너스 청량리 동대문구 호텔,https://www.google.com/maps/place/%ED%98%B8%ED%85%94+%EB%8D%94+%EB%94%94%EC%9E%90%EC%9D%B4%EB%84%88%EC%8A%A4+%EC%B2%AD%EB%9F%89%EB%A6%AC+%EB%8F%99%EB%8C%80%EB%AC%B8%EA%B5%AC+%ED%98%B8%ED%85%94/data=!4m10!3m9!1s0x357cbb5b9bd8390b:0xf125a5ec61536644!5m2!4m1!1i2!8m2!3d37.5817216!4d127.0476308!16s%2Fg%2F11cm_hvwt4!19sChIJCznYm1u7fDURRGZTYeylJfE?authuser=0&hl=ko&rclk=1
서울특별시교육청 동대문도서관,다락호텔,https://www.google.com/maps/place/%EB%8B%A4%EB%9D%BD%ED%98%B8%ED%85%94/data=!4m10!3m9!1s0x357ca34bf86e1271:0xc7bb476b0e62c9db!5m2!4m1!1i2!8m2!3d37.5732819!4d127.023884!16s%2Fg%2F11f2ckgp04!19sChIJcRJu-EujfDUR28liDmtHu8c?authuser=0&hl=ko&rclk=1
서울특별시교육청 동대문도서관,서울앤호텔 동대문,https://www.google.com/maps/place/%EC%84%9C%EC%9A%B8%EC%95%A4%ED%98%B8%ED%85%94+%EB%8F%99%EB%8C%80%EB%AC%B8/data=!4m10!3m9!1s0x357ca3499b3bd4fd:0xf3730cbaa9e9b91b!5m2!4m1!1i2!8m2!3d37.5732747!4d127.0208022!16s%2Fg%2F11dfdgy2zh!19sChIJ_dQ7m0mjfDURG7npqboMc_M?authuser=0&hl=ko&rclk=1
서울특별시교육청 동대문도서관,G 미니 호텔 동대문,https://www.google.com/maps/place/G+%EB%AF%B8%EB%8B%88+%ED%98%B8%ED%85%94+%EB%8F%99%EB%8C%80%EB%AC%B8/data=!4m10!3m9!1s0x357ca34cc4c2354b:0xd3de7e59afc8d3bb!5m2!4m1!1i2!8m2!3d37.5758362!4d127.0258948!16s%2Fg%2F11b7vr_wjr!19sChIJSzXCxEyjfDURu9PIr1l-3tM?authuser=0&hl=ko&rclk=1
서울특별시교육청 동대문도서관,호스텔코리아 오리지널,https://www.google.com/maps/place/%ED%98%B8%EC%8A%A4%ED%85%94%EC%BD%94%EB%A6%AC%EC%95%84+%EC%98%A4%EB%A6%AC%EC%A7%80%EB%84%90/data=!4m10!3m9!1s0x357ca34a03a04735:0x8cf9fc91a6946220!5m2!4m1!1i2!8m2!3d37.5755416!4d127.0204658!16s%2Fg%2F1tf73gn8!19sChIJNUegA0qjfDURIGKUppH8-Yw?authuser=0&hl=ko&rclk=1
서울특별시교육청 동대문도서관,Hostel Metro,https://www.google.com/maps/place/Hostel+Metro/data=!4m10!3m9!1s0x357ca34cbbe20459:0x2c53cbd95d1ced6d!5m2!4m1!1i2!8m2!3d37.576215!4d127.024935!16s%2Fg%2F11scv0gqkp!19sChIJWQTiu0yjfDURbe0cXdnLUyw?authuser=0&hl=ko&rclk=1
올리브영 장한평역,이지호텔,https://www.google.com/maps/place/%EC%9D%B4%EC%A7%80%ED%98%B8%ED%85%94/data=!4m10!3m9!1s0x357cbb3aba4f469d:0xb79c684703a31d48!5m2!4m1!1i2!8m2!3d37.570004!4d127.0714335!16s%2Fg%2F11b73m148p!19sChIJnUZPujq7fDURSB2jA0donLc?authuser=0&hl=ko&rclk=1
