관광지명,숙박시설명,URL
고구동산길,고종란,https://www.google.com/maps/place/%EA%B3%A0%EC%A2%85%EB%9E%80/data=!4m7!3m6!1s0x357c9fa19a21a531:0xf42a658b39c9d9b0!8m2!3d37.496814!4d126.9305018!16s%2Fg%2F11f64drq1_!19sChIJMaUhmqGffDURsNnJOYtlKvQ?authuser=0&hl=ko&rclk=1
사육신공원,Noryangjin Nstay,https://www.google.com/maps/place/Noryangjin+Nstay/data=!4m10!3m9!1s0x357c9f5df687969d:0xba1313ca6141e6b5!5m2!4m1!1i2!8m2!3d37.512941!4d126.947761!16s%2Fg%2F11r9gvchzn!19sChIJnZaH9l2ffDURteZBYcoTE7o?authuser=0&hl=ko&rclk=1
사육신공원,호텔노블 노량진점 (Hotel Noble Noryangjin),https://www.google.com/maps/place/%ED%98%B8%ED%85%94%EB%85%B8%EB%B8%94+%EB%85%B8%EB%9F%89%EC%A7%84%EC%A0%90+%28Hotel+Noble+Noryangjin%29/data=!4m10!3m9!1s0x357c9fbecd810ccf:0xb3e5e25325e473c1!5m2!4m1!1i2!8m2!3d37.5096322!4d126.9404525!16s%2Fg%2F11fszrx1rd!19sChIJzwyBzb6ffDURwXPkJVPi5bM?authuser=0&hl=ko&rclk=1
사육신공원,코텔,https://www.google.com/maps/place/%EC%BD%94%ED%85%94/data=!4m10!3m9!1s0x357c9f364385fa25:0x490eb33ca951c0c1!5m2!4m1!1i2!8m2!3d37.5127182!4d126.9420014!16s%2Fg%2F11ghn68ymx!19sChIJJfqFQzaffDURwcBRqTyzDkk?authuser=0&hl=ko&rclk=1
사육신공원,브릭12,https://www.google.com/maps/place/%EB%B8%8C%EB%A6%AD12/data=!4m10!3m9!1s0x357c9f6860a38dd5:0x2561a4a24e95074c!5m2!4m1!1i2!8m2!3d37.512793!4d126.942043!16s%2Fg%2F11nxg6dk_t!19sChIJ1Y2jYGiffDURTAeVTqKkYSU?authuser=0&hl=ko&rclk=1
사육신공원,Noryangjin JH9,https://www.google.com/maps/place/Noryangjin+JH9/data=!4m10!3m9!1s0x357c9f6860a38dd5:0x23416c132dec41ca!5m2!4m1!1i2!8m2!3d37.512793!4d126.942043!16s%2Fg%2F11vb4vx671!19sChIJ1Y2jYGiffDURykHsLRNsQSM?authuser=0&hl=ko&rclk=1
용양봉저정 공원,WO호텔 용산역,https://www.google.com/maps/place/WO%ED%98%B8%ED%85%94+%EC%9A%A9%EC%82%B0%EC%97%AD/data=!4m10!3m9!1s0x357ca21a29051aab:0xd822500e0c317b98!5m2!4m1!1i2!8m2!3d37.5241543!4d126.96232!16s%2Fg%2F11h9kp4gtl!19sChIJqxoFKRqifDURmHsxDA5QItg?authuser=0&hl=ko&rclk=1
용양봉저정 공원,Noryangjin Nstay,https://www.google.com/maps/place/Noryangjin+Nstay/data=!4m10!3m9!1s0x357c9f5df687969d:0xba1313ca6141e6b5!5m2!4m1!1i2!8m2!3d37.512941!4d126.947761!16s%2Fg%2F11r9gvchzn!19sChIJnZaH9l2ffDURteZBYcoTE7o?authuser=0&hl=ko&rclk=1
용양봉저정 공원,노블호텔,https://www.google.com/maps/place/%EB%85%B8%EB%B8%94%ED%98%B8%ED%85%94/data=!4m10!3m9!1s0x357ca3f27dc48f75:0xf6902c3eed117e23!5m2!4m1!1i2!8m2!3d37.5305761!4d126.9669872!16s%2Fg%2F11f6248ztj!19sChIJdY_EffKjfDURI34R7T4skPY?authuser=0&hl=ko&rclk=1
용양봉저정 공원,호텔노블 노량진점 (Hotel Noble Noryangjin),https://www.google.com/maps/place/%ED%98%B8%ED%85%94%EB%85%B8%EB%B8%94+%EB%85%B8%EB%9F%89%EC%A7%84%EC%A0%90+%28Hotel+Noble+Noryangjin%29/data=!4m10!3m9!1s0x357c9fbecd810ccf:0xb3e5e25325e473c1!5m2!4m1!1i2!8m2!3d37.5096322!4d126.9404525!16s%2Fg%2F11fszrx1rd!19sChIJzwyBzb6ffDURwXPkJVPi5bM?authuser=0&hl=ko&rclk=1
