관광지명,숙박시설명,URL
초대길,굿스테이안산,https://www.google.com/maps/place/%EA%B5%BF%EC%8A%A4%ED%85%8C%EC%9D%B4%EC%95%88%EC%82%B0/data=!4m10!3m9!1s0x357b68d2abbf47c3:0x2190d48446a3b41d!5m2!4m1!1i2!8m2!3d37.3101248!4d126.8683341!16s%2Fg%2F1tp8xzbx!19sChIJw0e_q9JoezURHbSjRoTUkCE?authuser=0&hl=ko&rclk=1
초대길,초대,https://www.google.com/maps/place/%EC%B4%88%EB%8C%80/data=!4m7!3m6!1s0x357c7f6d77042817:0x4434f1489b48a2b1!8m2!3d37.6456546!4d126.5892021!16s%2Fg%2F11hfqghqjd!19sChIJFygEd21_fDURsaJIm0jxNEQ?authuser=0&hl=ko&rclk=1
초대길,행복으로의초대,https://www.google.com/maps/place/%ED%96%89%EB%B3%B5%EC%9C%BC%EB%A1%9C%EC%9D%98%EC%B4%88%EB%8C%80/data=!4m10!3m9!1s0x357a738ddf8d1439:0x2b34b0ff7896541d!5m2!4m1!1i2!8m2!3d36.5700336!4d126.3227269!16s%2Fg%2F1tlbggvv!19sChIJORSN341zejURHVSWeP-wNCs?authuser=0&hl=ko&rclk=1
초대길,초대민박,https://www.google.com/maps/place/%EC%B4%88%EB%8C%80%EB%AF%BC%EB%B0%95/data=!4m10!3m9!1s0x5fd891c63fbe6ccf:0x40a0090cd99fb27b!5m2!4m1!1i2!8m2!3d38.3002807!4d128.3645797!16s%2Fg%2F11rmnn_b6j!19sChIJz2y-P8aR2F8Re7Kf2QwJoEA?authuser=0&hl=ko&rclk=1
상상톡톡 미술관,Mia Hwanggeum,https://www.google.com/maps/place/Mia+Hwanggeum/data=!4m10!3m9!1s0x357cbc7ac5b3bbd3:0xb82c904422aa2a07!5m2!4m1!1i2!8m2!3d37.619709!4d127.030123!16s%2Fg%2F11r9gvd299!19sChIJ07uzxXq8fDURByqqIkSQLLg?authuser=0&hl=ko&rclk=1
상상톡톡 미술관,갤러리모텔,https://www.google.com/maps/place/%EA%B0%A4%EB%9F%AC%EB%A6%AC%EB%AA%A8%ED%85%94/data=!4m10!3m9!1s0x357cbc877cc5da91:0x7efd0e6c26db3db8!5m2!4m1!1i2!8m2!3d37.610946!4d127.0325862!16s%2Fg%2F1w_vl71w!19sChIJkdrFfIe8fDURuD3bJmwO_X4?authuser=0&hl=ko&rclk=1
상상톡톡 미술관,샤인 호텔,https://www.google.com/maps/place/%EC%83%A4%EC%9D%B8+%ED%98%B8%ED%85%94/data=!4m10!3m9!1s0x357cbc67f06d6873:0x135b24310233446!5m2!4m1!1i2!8m2!3d37.6247127!4d127.0190856!16s%2Fg%2F11fx8_7r69!19sChIJc2ht8Ge8fDURRjQjEEOyNQE?authuser=0&hl=ko&rclk=1
상상톡톡 미술관,디자인호텔다니엘캄파넬라,https://www.google.com/maps/place/%EB%94%94%EC%9E%90%EC%9D%B8%ED%98%B8%ED%85%94%EB%8B%A4%EB%8B%88%EC%97%98%EC%BA%84%ED%8C%8C%EB%84%AC%EB%9D%BC/data=!4m10!3m9!1s0x357cbc116e43ca45:0x4080ca9fc345aab1!5m2!4m1!1i2!8m2!3d37.6374378!4d127.0257528!16s%2Fg%2F11cpn8cqpp!19sChIJRcpDbhG8fDURsapFw5_KgEA?authuser=0&hl=ko&rclk=1
상상톡톡 미술관,Mia Gallery,https://www.google.com/maps/place/Mia+Gallery/data=!4m10!3m9!1s0x357cbc877cd626ab:0xc913bc6a611f8df4!5m2!4m1!1i2!8m2!3d37.610968!4d127.032626!16s%2Fg%2F11qb3lq1pb!19sChIJqybWfIe8fDUR9I0fYWq8E8k?authuser=0&hl=ko&rclk=1
오동근린공원,디자인호텔다니엘캄파넬라,https://www.google.com/maps/place/%EB%94%94%EC%9E%90%EC%9D%B8%ED%98%B8%ED%85%94%EB%8B%A4%EB%8B%88%EC%97%98%EC%BA%84%ED%8C%8C%EB%84%AC%EB%9D%BC/data=!4m10!3m9!1s0x357cbc116e43ca45:0x4080ca9fc345aab1!5m2!4m1!1i2!8m2!3d37.6374378!4d127.0257528!16s%2Fg%2F11cpn8cqpp!19sChIJRcpDbhG8fDURsapFw5_KgEA?authuser=0&hl=ko&rclk=1
