관광지명,숙박시설명,URL
코엑스동측광장,인터컨티넨탈 서울 코엑스,https://www.google.com/maps/place/%EC%9D%B8%ED%84%B0%EC%BB%A8%ED%8B%B0%EB%84%A8%ED%83%88+%EC%84%9C%EC%9A%B8+%EC%BD%94%EC%97%91%EC%8A%A4/data=!4m10!3m9!1s0x357ca41aafe36517:0xe6d18a90817f2a50!5m2!4m1!1i2!8m2!3d37.5126864!4d127.0574219!16s%2Fg%2F1td2kf3z!19sChIJF2XjrxqkfDURUCp_gZCK0eY?authuser=0&hl=ko&rclk=1
코엑스동측광장,오크우드 프리미어 코엑스 센터,https://www.google.com/maps/place/%EC%98%A4%ED%81%AC%EC%9A%B0%EB%93%9C+%ED%94%84%EB%A6%AC%EB%AF%B8%EC%96%B4+%EC%BD%94%EC%97%91%EC%8A%A4+%EC%84%BC%ED%84%B0/data=!4m10!3m9!1s0x357ca46a92eb80a5:0x41c9a20d373b6dd5!5m2!4m1!1i2!8m2!3d37.51093!4d127.058103!16s%2Fm%2F0wsn4ky!19sChIJpYDrkmqkfDUR1W07Nw2iyUE?authuser=0&hl=ko&rclk=1
코엑스동측광장,글래드 강남 코엑스센터,https://www.google.com/maps/place/%EA%B8%80%EB%9E%98%EB%93%9C+%EA%B0%95%EB%82%A8+%EC%BD%94%EC%97%91%EC%8A%A4%EC%84%BC%ED%84%B0/data=!4m10!3m9!1s0x357ca440f0d38a89:0x98ab5cdb05080c44!5m2!4m1!1i2!8m2!3d37.508825!4d127.064533!16s%2Fg%2F11f4wt9y0y!19sChIJiYrT8ECkfDURRAwIBdtcq5g?authuser=0&hl=ko&rclk=1
송은,호텔 리베라 아노블리,https://www.google.com/maps/place/%ED%98%B8%ED%85%94+%EB%A6%AC%EB%B2%A0%EB%9D%BC+%EC%95%84%EB%85%B8%EB%B8%94%EB%A6%AC/data=!4m10!3m9!1s0x357ca59ef2d68f0d:0xdb4042312cf62f73!5m2!4m1!1i2!8m2!3d37.5239655!4d127.0415901!16s%2Fg%2F11j0rvznjz!19sChIJDY_W8p6lfDURcy_2LDFCQNs?authuser=0&hl=ko&rclk=1
송은,프린세스호텔,https://www.google.com/maps/place/%ED%94%84%EB%A6%B0%EC%84%B8%EC%8A%A4%ED%98%B8%ED%85%94/data=!4m10!3m9!1s0x357ca3863a88205d:0xd2931e78f8b93e25!5m2!4m1!1i2!8m2!3d37.5273481!4d127.0366243!16s%2Fg%2F1v62flqx!19sChIJXSCIOoajfDURJT65-Hgek9I?authuser=0&hl=ko&rclk=1
송은,Hotel Anobli,https://www.google.com/maps/place/Hotel+Anobli/data=!4m10!3m9!1s0x357ca4779388957f:0x98fbbd2336459a6f!5m2!4m1!1i2!8m2!3d37.523966!4d127.04159!16s%2Fg%2F11rdc6lp4h!19sChIJf5WIk3ekfDURb5pFNiO9-5g?authuser=0&hl=ko&rclk=1
송은,호텔리베라,https://www.google.com/maps/place/%ED%98%B8%ED%85%94%EB%A6%AC%EB%B2%A0%EB%9D%BC/data=!4m10!3m9!1s0x357ca464685f861f:0x9243e39846037492!5m2!4m1!1i2!8m2!3d37.5238168!4d127.0542475!16s%2Fg%2F1td_33bq!19sChIJH4ZfaGSkfDURknQDRpjjQ5I?authuser=0&hl=ko&rclk=1
송은,휴모텔,https://www.google.com/maps/place/%ED%9C%B4%EB%AA%A8%ED%85%94/data=!4m10!3m9!1s0x357ca3f5285cc8b3:0xef6548f3430a6d46!5m2!4m1!1i2!8m2!3d37.5165935!4d127.0374784!16s%2Fg%2F11g22ycg68!19sChIJs8hcKPWjfDURRm0KQ_NIZe8?authuser=0&hl=ko&rclk=1
갤러리위,더휴라르고,https://www.google.com/maps/place/%EB%8D%94%ED%9C%B4%EB%9D%BC%EB%A5%B4%EA%B3%A0/data=!4m10!3m9!1s0x357b596bd06ad0cb:0x3335f525c0ae7115!5m2!4m1!1i2!8m2!3d37.3551754!4d127.0647785!16s%2Fg%2F11h9lflc0s!19sChIJy9Bq0GtZezURFXGuwCX1NTM?authuser=0&hl=ko&rclk=1
갤러리위,The Hue Largo Bundang,https://www.google.com/maps/place/The+Hue+Largo+Bundang/data=!4m10!3m9!1s0x357b596bcfb7de33:0x4a7e3b2be27e4eef!5m2!4m1!1i2!8m2!3d37.355343!4d127.064722!16s%2Fg%2F11tn0mrbjd!19sChIJM963z2tZezUR705-4is7fko?authuser=0&hl=ko&rclk=1
갤러리위,혜원펜션,https://www.google.com/maps/place/%ED%98%9C%EC%9B%90%ED%8E%9C%EC%85%98/data=!4m10!3m9!1s0x357b594fffdea6f3:0x708d77a4dd6ac5d5!5m2!4m1!1i2!8m2!3d37.3552036!4d127.0506662!16s%2Fg%2F11dfhv3_fm!19sChIJ86be_09ZezUR1cVq3aR3jXA?authuser=0&hl=ko&rclk=1
갤러리위,광교포레 유스호스텔,https://www.google.com/maps/place/%EA%B4%91%EA%B5%90%ED%8F%AC%EB%A0%88+%EC%9C%A0%EC%8A%A4%ED%98%B8%EC%8A%A4%ED%85%94/data=!4m10!3m9!1s0x357b595ab29189ff:0xb93badd732297cb4!5m2!4m1!1i2!8m2!3d37.3548738!4d127.051501!16s%2Fg%2F11bwp2xbkd!19sChIJ_4mRslpZezURtHwpMtetO7k?authuser=0&hl=ko&rclk=1
갤러리위,힐링숲펜션,https://www.google.com/maps/place/%ED%9E%90%EB%A7%81%EC%88%B2%ED%8E%9C%EC%85%98/data=!4m10!3m9!1s0x357b595002efa1c1:0xf0bf3187f10304ac!5m2!4m1!1i2!8m2!3d37.3552477!4d127.050213!16s%2Fg%2F11f64dmnp0!19sChIJwaHvAlBZezURrAQD8Ycxv_A?authuser=0&hl=ko&rclk=1
서울 불국사,콘래드 서울,https://www.google.com/maps/place/%EC%BD%98%EB%9E%98%EB%93%9C+%EC%84%9C%EC%9A%B8/data=!4m10!3m9!1s0x357c9f3bedaef86d:0x870e91c402860ad2!5m2!4m1!1i2!8m2!3d37.5253357!4d126.9265542!16s%2Fg%2F11bwn5psz4!19sChIJbfiu7TuffDUR0gqGAsSRDoc?authuser=0&hl=ko&rclk=1
