관광지명,숙박시설명,URL
허준박물관,블루힐여관,https://www.google.com/maps/place/%EB%B8%94%EB%A3%A8%ED%9E%90%EC%97%AC%EA%B4%80/data=!4m10!3m9!1s0x357c9c3f09371747:0xc4e686eca4121413!5m2!4m1!1i2!8m2!3d37.546284!4d126.8483368!16s%2Fg%2F11f64dk90c!19sChIJRxc3CT-cfDURExQSpOyG5sQ?authuser=0&hl=ko&rclk=1
허준박물관,Hwagok Love Letter,https://www.google.com/maps/place/Hwagok+Love+Letter/data=!4m10!3m9!1s0x357c9c13e75b9c09:0x3778b9da5a1deaa1!5m2!4m1!1i2!8m2!3d37.553443!4d126.851542!16s%2Fg%2F11k4tthtg2!19sChIJCZxb5xOcfDURoeodWtq5eDc?authuser=0&hl=ko&rclk=1
허준박물관,Hwagok Dean,https://www.google.com/maps/place/Hwagok+Dean/data=!4m10!3m9!1s0x357c9c13e5c8ac2f:0xdace0aee0c9c1df0!5m2!4m1!1i2!8m2!3d37.553179!4d126.851393!16s%2Fg%2F11r9skvtft!19sChIJL6zI5ROcfDUR8B2cDO4Kzto?authuser=0&hl=ko&rclk=1
허준박물관,심플스테이 강서 김포공항,https://www.google.com/maps/place/%EC%8B%AC%ED%94%8C%EC%8A%A4%ED%85%8C%EC%9D%B4+%EA%B0%95%EC%84%9C+%EA%B9%80%ED%8F%AC%EA%B3%B5%ED%95%AD/data=!4m10!3m9!1s0x357c9c93413f78f1:0xf8adca14ad735e17!5m2!4m1!1i2!8m2!3d37.5636663!4d126.809972!16s%2Fg%2F11c5bwxylh!19sChIJ8Xg_QZOcfDURF15zrRTKrfg?authuser=0&hl=ko&rclk=1
허준박물관,러브레터,https://www.google.com/maps/place/%EB%9F%AC%EB%B8%8C%EB%A0%88%ED%84%B0/data=!4m10!3m9!1s0x357c9c13e744a74d:0x49384ffb57312c60!5m2!4m1!1i2!8m2!3d37.5534511!4d126.8515131!16s%2Fg%2F1ttq00z5!19sChIJTadE5xOcfDURYCwxV_tPOEk?authuser=0&hl=ko&rclk=1
송화벽화시장,블루힐여관,https://www.google.com/maps/place/%EB%B8%94%EB%A3%A8%ED%9E%90%EC%97%AC%EA%B4%80/data=!4m10!3m9!1s0x357c9c3f09371747:0xc4e686eca4121413!5m2!4m1!1i2!8m2!3d37.546284!4d126.8483368!16s%2Fg%2F11f64dk90c!19sChIJRxc3CT-cfDURExQSpOyG5sQ?authuser=0&hl=ko&rclk=1
송화벽화시장,유니온호텔,https://www.google.com/maps/place/%EC%9C%A0%EB%8B%88%EC%98%A8%ED%98%B8%ED%85%94/data=!4m10!3m9!1s0x357c9c409924507b:0xb60c7d5c4c99e018!5m2!4m1!1i2!8m2!3d37.5463439!4d126.8461654!16s%2Fg%2F11px74567l!19sChIJe1AkmUCcfDURGOCZTFx9DLY?authuser=0&hl=ko&rclk=1
송화벽화시장,Hwagok Seoleim,https://www.google.com/maps/place/Hwagok+Seoleim/data=!4m10!3m9!1s0x357c9c3f627c6b23:0xe539752f81d7f522!5m2!4m1!1i2!8m2!3d37.546442!4d126.846583!16s%2Fg%2F11pwydp6lz!19sChIJI2t8Yj-cfDURIvXXgS91OeU?authuser=0&hl=ko&rclk=1
송화벽화시장,구름성모텔,https://www.google.com/maps/place/%EA%B5%AC%EB%A6%84%EC%84%B1%EB%AA%A8%ED%85%94/data=!4m10!3m9!1s0x357c9c40bdbe1271:0xc2b25d2feac694ee!5m2!4m1!1i2!8m2!3d37.546276!4d126.845649!16s%2Fg%2F1tdkvm0b!19sChIJcRK-vUCcfDUR7pTG6i9dssI?authuser=0&hl=ko&rclk=1
송화벽화시장,팰리스모텔,https://www.google.com/maps/place/%ED%8C%B0%EB%A6%AC%EC%8A%A4%EB%AA%A8%ED%85%94/data=!4m10!3m9!1s0x357c9c3f8929561d:0xa759698b23d6b525!5m2!4m1!1i2!8m2!3d37.547855!4d126.846886!16s%2Fg%2F1tqnjk10!19sChIJHVYpiT-cfDURJbXWI4tpWac?authuser=0&hl=ko&rclk=1
화곡본동시장,유니온호텔,https://www.google.com/maps/place/%EC%9C%A0%EB%8B%88%EC%98%A8%ED%98%B8%ED%85%94/data=!4m10!3m9!1s0x357c9c409924507b:0xb60c7d5c4c99e018!5m2!4m1!1i2!8m2!3d37.5463439!4d126.8461654!16s%2Fg%2F11px74567l!19sChIJe1AkmUCcfDURGOCZTFx9DLY?authuser=0&hl=ko&rclk=1
화곡본동시장,Hwagok Seoleim,https://www.google.com/maps/place/Hwagok+Seoleim/data=!4m10!3m9!1s0x357c9c3f627c6b23:0xe539752f81d7f522!5m2!4m1!1i2!8m2!3d37.546442!4d126.846583!16s%2Fg%2F11pwydp6lz!19sChIJI2t8Yj-cfDURIvXXgS91OeU?authuser=0&hl=ko&rclk=1
화곡본동시장,블루힐여관,https://www.google.com/maps/place/%EB%B8%94%EB%A3%A8%ED%9E%90%EC%97%AC%EA%B4%80/data=!4m10!3m9!1s0x357c9c3f09371747:0xc4e686eca4121413!5m2!4m1!1i2!8m2!3d37.546284!4d126.8483368!16s%2Fg%2F11f64dk90c!19sChIJRxc3CT-cfDURExQSpOyG5sQ?authuser=0&hl=ko&rclk=1
