관광지명,숙박시설명,URL
별빛 남문시장,이사벨,https://www.google.com/maps/place/%EC%9D%B4%EC%82%AC%EB%B2%A8/data=!4m10!3m9!1s0x357b61d976fe3ecb:0x6a1684e9ab448c53!5m2!4m1!1i2!8m2!3d37.4716823!4d126.8974884!16s%2Fg%2F1tsympss!19sChIJyz7-dtlhezURU4xEq-mEFmo?authuser=0&hl=ko&rclk=1
별빛 남문시장,미니멀시즌호텔,https://www.google.com/maps/place/%EB%AF%B8%EB%8B%88%EB%A9%80%EC%8B%9C%EC%A6%8C%ED%98%B8%ED%85%94/data=!4m10!3m9!1s0x357c9e27a226d747:0x8a12e0fbf84dfd30!5m2!4m1!1i2!8m2!3d37.4766375!4d126.8980103!16s%2Fg%2F11f0wpm4dq!19sChIJR9cmoieefDURMP1N-PvgEoo?authuser=0&hl=ko&rclk=1
별빛 남문시장,호텔인카페 독산사거리점,https://www.google.com/maps/place/%ED%98%B8%ED%85%94%EC%9D%B8%EC%B9%B4%ED%8E%98+%EB%8F%85%EC%82%B0%EC%82%AC%EA%B1%B0%EB%A6%AC%EC%A0%90/data=!4m10!3m9!1s0x357b61d992f17f17:0x217816f624f7c588!5m2!4m1!1i2!8m2!3d37.471123!4d126.89887!16s%2Fg%2F11jf_k7b68!19sChIJF3_xktlhezURiMX3JPYWeCE?authuser=0&hl=ko&rclk=1
별빛 남문시장,휴모텔,https://www.google.com/maps/place/%ED%9C%B4%EB%AA%A8%ED%85%94/data=!4m10!3m9!1s0x357c9f552883593b:0x49edb8159cb7f2ac!5m2!4m1!1i2!8m2!3d37.4760229!4d126.9032337!16s%2Fg%2F11g3yw7p3l!19sChIJO1mDKFWffDURrPK3nBW47Uk?authuser=0&hl=ko&rclk=1
별빛 남문시장,독산 대호모텔,https://www.google.com/maps/place/%EB%8F%85%EC%82%B0+%EB%8C%80%ED%98%B8%EB%AA%A8%ED%85%94/data=!4m10!3m9!1s0x357b61d94d6976fd:0x49deab98660184dd!5m2!4m1!1i2!8m2!3d37.472461!4d126.895069!16s%2Fg%2F11t1l5kmbr!19sChIJ_XZpTdlhezUR3YQBZpir3kk?authuser=0&hl=ko&rclk=1
쌈지 어린이공원,쌈지공원,https://www.google.com/maps/place/%EC%8C%88%EC%A7%80%EA%B3%B5%EC%9B%90/data=!4m7!3m6!1s0x357b61d6f619dc2d:0x65d6e20c7bd0e01b!8m2!3d37.4708713!4d126.9039792!16s%2Fg%2F1tgd99z3!19sChIJLdwZ9tZhezURG-DQewzi1mU?authuser=0&hl=ko&rclk=1
쌈지 어린이공원,172st호텔,https://www.google.com/maps/place/172st%ED%98%B8%ED%85%94/data=!4m10!3m9!1s0x357b5a21ac822f61:0x8f0a46703e3f08d4!5m2!4m1!1i2!8m2!3d37.3246069!4d127.1018256!16s%2Fg%2F11f_j9b24t!19sChIJYS-CrCFaezUR1Ag_PnBGCo8?authuser=0&hl=ko&rclk=1
금천구립금나래도서관,Geumcheon Yeongbin,https://www.google.com/maps/place/Geumcheon+Yeongbin/data=!4m10!3m9!1s0x357b61b9ba5497e7:0xf3e252156f92e8b3!5m2!4m1!1i2!8m2!3d37.453677!4d126.898521!16s%2Fg%2F11pwydt8vx!19sChIJ55dUurlhezURs-iSbxVS4vM?authuser=0&hl=ko&rclk=1
금천구립금나래도서관,호텔 트리플8,https://www.google.com/maps/place/%ED%98%B8%ED%85%94+%ED%8A%B8%EB%A6%AC%ED%94%8C8/data=!4m10!3m9!1s0x357b61d1b9063a81:0x890d54a9b8177c2!5m2!4m1!1i2!8m2!3d37.4525842!4d126.902479!16s%2Fg%2F11h89965j7!19sChIJgToGudFhezURwneBm0rVkAg?authuser=0&hl=ko&rclk=1
금천구립금나래도서관,독산 윈저호텔,https://www.google.com/maps/place/%EB%8F%85%EC%82%B0+%EC%9C%88%EC%A0%80%ED%98%B8%ED%85%94/data=!4m10!3m9!1s0x357b61c4e7a73cab:0x4b82140a7993d02!5m2!4m1!1i2!8m2!3d37.4652033!4d126.8971506!16s%2Fg%2F11pcl5j035!19sChIJqzyn58RhezURAj2Zp0AhuAQ?authuser=0&hl=ko&rclk=1
금천구립금나래도서관,독산3S호텔,https://www.google.com/maps/place/%EB%8F%85%EC%82%B03S%ED%98%B8%ED%85%94/data=!4m10!3m9!1s0x357b61c4e7a73cab:0x4f073a460869dbae!5m2!4m1!1i2!8m2!3d37.4652033!4d126.8971506!16s%2Fg%2F11t6wp3c6m!19sChIJqzyn58RhezURrttpCEY6B08?authuser=0&hl=ko&rclk=1
