관광지명,숙박시설명,URL
이마트 구로,컬리넌호텔 (Hotel Cullinan Guro),https://www.google.com/maps/place/%EC%BB%AC%EB%A6%AC%EB%84%8C%ED%98%B8%ED%85%94+%28Hotel+Cullinan+Guro%29/data=!4m10!3m9!1s0x357c9e259092b76f:0xeeac537bb227bbc3!5m2!4m1!1i2!8m2!3d37.481149!4d126.8994648!16s%2Fg%2F11gw2z2mq7!19sChIJb7eSkCWefDURw7snsntTrO4?authuser=0&hl=ko&rclk=1
이마트 구로,롯데시티호텔 구로,https://www.google.com/maps/place/%EB%A1%AF%EB%8D%B0%EC%8B%9C%ED%8B%B0%ED%98%B8%ED%85%94+%EA%B5%AC%EB%A1%9C/data=!4m10!3m9!1s0x357c9e24c94eb9e9:0xf6764b9b61915c7f!5m2!4m1!1i2!8m2!3d37.4851473!4d126.8968387!16s%2Fg%2F11b639ppcy!19sChIJ6blOySSefDURf1yRYZtLdvY?authuser=0&hl=ko&rclk=1
이마트 구로,포 포인츠 바이 쉐라톤 서울 구로,https://www.google.com/maps/place/%ED%8F%AC+%ED%8F%AC%EC%9D%B8%EC%B8%A0+%EB%B0%94%EC%9D%B4+%EC%89%90%EB%9D%BC%ED%86%A4+%EC%84%9C%EC%9A%B8+%EA%B5%AC%EB%A1%9C/data=!4m10!3m9!1s0x357c9f92e03c3c0b:0x7f5e500ea3bd8907!5m2!4m1!1i2!8m2!3d37.4831644!4d126.8988882!16s%2Fg%2F11fl75v2v9!19sChIJCzw84JKffDURB4m9ow5QXn8?authuser=0&hl=ko&rclk=1
이마트 구로,신라스테이 구로,https://www.google.com/maps/place/%EC%8B%A0%EB%9D%BC%EC%8A%A4%ED%85%8C%EC%9D%B4+%EA%B5%AC%EB%A1%9C/data=!4m10!3m9!1s0x357c9e316a596c83:0x4cc6e205eceeeeec!5m2!4m1!1i2!8m2!3d37.4856829!4d126.9042814!16s%2Fg%2F11clkmyr10!19sChIJg2xZajGefDUR7O7u7AXixkw?authuser=0&hl=ko&rclk=1
이마트 구로,구로 JS 호스텔,https://www.google.com/maps/place/%EA%B5%AC%EB%A1%9C+JS+%ED%98%B8%EC%8A%A4%ED%85%94/data=!4m10!3m9!1s0x357c9fd6b8ebbe19:0x601ce3b77416cc69!5m2!4m1!1i2!8m2!3d37.4794728!4d126.8910537!16s%2Fg%2F11g_y_3p3n!19sChIJGb7ruNaffDURacwWdLfjHGA?authuser=0&hl=ko&rclk=1
구로아트밸리 예술극장,Hotel COCOMO,https://www.google.com/maps/place/Hotel+COCOMO/data=!4m10!3m9!1s0x357c9f44ca515b21:0x8ab785c6772d350e!5m2!4m1!1i2!8m2!3d37.5019281!4d126.8833978!16s%2Fg%2F11jygjy758!19sChIJIVtRykSffDURDjUtd8aFt4o?authuser=0&hl=ko&rclk=1
구로아트밸리 예술극장,노벰버모텔,https://www.google.com/maps/place/%EB%85%B8%EB%B2%B0%EB%B2%84%EB%AA%A8%ED%85%94/data=!4m10!3m9!1s0x357c9faecbe5b9bb:0x10ac6c6378ca52dc!5m2!4m1!1i2!8m2!3d37.5025885!4d126.8912899!16s%2Fg%2F11smhg6b_j!19sChIJu7nly66ffDUR3FLKeGNsrBA?authuser=0&hl=ko&rclk=1
구로아트밸리 예술극장,시티 파크 모텔,https://www.google.com/maps/place/%EC%8B%9C%ED%8B%B0+%ED%8C%8C%ED%81%AC+%EB%AA%A8%ED%85%94/data=!4m10!3m9!1s0x357c9e1098092583:0x60f3ad506f2cf609!5m2!4m1!1i2!8m2!3d37.4906604!4d126.8828541!16s%2Fg%2F11j0clrnp4!19sChIJgyUJmBCefDURCfYsb1Ct82A?authuser=0&hl=ko&rclk=1
구로아트밸리 예술극장,Namguro Bom 3,https://www.google.com/maps/place/Namguro+Bom+3/data=!4m10!3m9!1s0x357c9e109a55a6e1:0x6e733dfca8339ded!5m2!4m1!1i2!8m2!3d37.490746!4d126.882375!16s%2Fg%2F11nfvsgxxf!19sChIJ4aZVmhCefDUR7Z0zqPw9c24?authuser=0&hl=ko&rclk=1
구로아트밸리 예술극장,수정장여관,https://www.google.com/maps/place/%EC%88%98%EC%A0%95%EC%9E%A5%EC%97%AC%EA%B4%80/data=!4m10!3m9!1s0x357c9fa950de7aeb:0x225b371d520cfe6e!5m2!4m1!1i2!8m2!3d37.501342!4d126.9168895!16s%2Fg%2F1tf2_b0w!19sChIJ63reUKmffDURbv4MUh03WyI?authuser=0&hl=ko&rclk=1
구로리공원,시티 파크 모텔,https://www.google.com/maps/place/%EC%8B%9C%ED%8B%B0+%ED%8C%8C%ED%81%AC+%EB%AA%A8%ED%85%94/data=!4m10!3m9!1s0x357c9e1098092583:0x60f3ad506f2cf609!5m2!4m1!1i2!8m2!3d37.4906604!4d126.8828541!16s%2Fg%2F11j0clrnp4!19sChIJgyUJmBCefDURCfYsb1Ct82A?authuser=0&hl=ko&rclk=1
구로리공원,롯데시티호텔 구로,https://www.google.com/maps/place/%EB%A1%AF%EB%8D%B0%EC%8B%9C%ED%8B%B0%ED%98%B8%ED%85%94+%EA%B5%AC%EB%A1%9C/data=!4m10!3m9!1s0x357c9e24c94eb9e9:0xf6764b9b61915c7f!5m2!4m1!1i2!8m2!3d37.4851473!4d126.8968387!16s%2Fg%2F11b639ppcy!19sChIJ6blOySSefDURf1yRYZtLdvY?authuser=0&hl=ko&rclk=1
구로리공원,Namguro Bom 3,https://www.google.com/maps/place/Namguro+Bom+3/data=!4m10!3m9!1s0x357c9e109a55a6e1:0x6e733dfca8339ded!5m2!4m1!1i2!8m2!3d37.490746!4d126.882375!16s%2Fg%2F11nfvsgxxf!19sChIJ4aZVmhCefDUR7Z0zqPw9c24?authuser=0&hl=ko&rclk=1
구로리공원,Hotel COCOMO,https://www.google.com/maps/place/Hotel+COCOMO/data=!4m10!3m9!1s0x357c9f44ca515b21:0x8ab785c6772d350e!5m2!4m1!1i2!8m2!3d37.5019281!4d126.8833978!16s%2Fg%2F11jygjy758!19sChIJIVtRykSffDURDjUtd8aFt4o?authuser=0&hl=ko&rclk=1
구로리공원,에이치 호텔 가산,https://www.google.com/maps/place/%EC%97%90%EC%9D%B4%EC%B9%98+%ED%98%B8%ED%85%94+%EA%B0%80%EC%82%B0/data=!4m10!3m9!1s0x357c9e1fe618c0c3:0x8b501f570a7cf7ba!5m2!4m1!1i2!8m2!3d37.4793894!4d126.8885088!16s%2Fg%2F11h810kq5p!19sChIJw8AY5h-efDURuvd8ClcfUIs?authuser=0&hl=ko&rclk=1
가리봉시장,더스테이 호텔,https://www.google.com/maps/place/%EB%8D%94%EC%8A%A4%ED%85%8C%EC%9D%B4+%ED%98%B8%ED%85%94/data=!4m10!3m9!1s0x357c9e1fe5dcd91f:0x4561890a72f02917!5m2!4m1!1i2!8m2!3d37.4792869!4d126.8886256!16s%2Fg%2F11ll7r3r06!19sChIJH9nc5R-efDURFynwcgqJYUU?authuser=0&hl=ko&rclk=1
가리봉시장,에이치 호텔 가산,https://www.google.com/maps/place/%EC%97%90%EC%9D%B4%EC%B9%98+%ED%98%B8%ED%85%94+%EA%B0%80%EC%82%B0/data=!4m10!3m9!1s0x357c9e1fe618c0c3:0x8b501f570a7cf7ba!5m2!4m1!1i2!8m2!3d37.4793894!4d126.8885088!16s%2Fg%2F11h810kq5p!19sChIJw8AY5h-efDURuvd8ClcfUIs?authuser=0&hl=ko&rclk=1
가리봉시장,구로 JS 호스텔,https://www.google.com/maps/place/%EA%B5%AC%EB%A1%9C+JS+%ED%98%B8%EC%8A%A4%ED%85%94/data=!4m10!3m9!1s0x357c9fd6b8ebbe19:0x601ce3b77416cc69!5m2!4m1!1i2!8m2!3d37.4794728!4d126.8910537!16s%2Fg%2F11g_y_3p3n!19sChIJGb7ruNaffDURacwWdLfjHGA?authuser=0&hl=ko&rclk=1
가리봉시장,H hotel 가산,https://www.google.com/maps/place/H+hotel+%EA%B0%80%EC%82%B0/data=!4m10!3m9!1s0x357ca11491761d8d:0x532a4441e389dafc!5m2!4m1!1i2!8m2!3d37.4793894!4d126.8885088!16s%2Fg%2F11h_wzbrv5!19sChIJjR12kRShfDUR_NqJ40FEKlM?authuser=0&hl=ko&rclk=1
가리봉시장,jsgurohostel,https://www.google.com/maps/place/jsgurohostel/data=!4m10!3m9!1s0x357c9fc9a3e2902d:0xe15b0452721637a5!5m2!4m1!1i2!8m2!3d37.4794728!4d126.8910537!16s%2Fg%2F11ffv3wljd!19sChIJLZDio8mffDURpTcWclIEW-E?authuser=0&hl=ko&rclk=1
궁동저수지 생태공원,호텔베르누이서울(HOTEL BERNOUI SEOUL),https://www.google.com/maps/place/%ED%98%B8%ED%85%94%EB%B2%A0%EB%A5%B4%EB%88%84%EC%9D%B4%EC%84%9C%EC%9A%B8%28HOTEL+BERNOUI+SEOUL%29/data=!4m10!3m9!1s0x357c9d8b2e16e389:0x76453ea03c8e31e7!5m2!4m1!1i2!8m2!3d37.4972241!4d126.845983!16s%2Fg%2F11b7vs7bvd!19sChIJieMWLoudfDUR5zGOPKA-RXY?authuser=0&hl=ko&rclk=1
궁동저수지 생태공원,호텔레몬트리,https://www.google.com/maps/place/%ED%98%B8%ED%85%94%EB%A0%88%EB%AA%AC%ED%8A%B8%EB%A6%AC/data=!4m10!3m9!1s0x357b6275db9381b9:0xc3635206a9ac0ac2!5m2!4m1!1i2!8m2!3d37.4943187!4d126.8416061!16s%2Fg%2F11ghrgxddd!19sChIJuYGT23ViezURwgqsqQZSY8M?authuser=0&hl=ko&rclk=1
궁동저수지 생태공원,쎄비앙,https://www.google.com/maps/place/%EC%8E%84%EB%B9%84%EC%95%99/data=!4m10!3m9!1s0x357c9d8ada383be9:0x412b2a9821922aa2!5m2!4m1!1i2!8m2!3d37.4962705!4d126.8457613!16s%2Fg%2F1trpj41t!19sChIJ6Ts42oqdfDURoiqSIZgqK0E?authuser=0&hl=ko&rclk=1
궁동저수지 생태공원,본모텔,https://www.google.com/maps/place/%EB%B3%B8%EB%AA%A8%ED%85%94/data=!4m10!3m9!1s0x357b6275d9b88c89:0x1d120611497a7a5f!5m2!4m1!1i2!8m2!3d37.4941876!4d126.8413786!16s%2Fg%2F11r9gvm23y!19sChIJiYy42XViezURX3p6SREGEh0?authuser=0&hl=ko&rclk=1
궁동저수지 생태공원,라이프스타일 S호텔,https://www.google.com/maps/place/%EB%9D%BC%EC%9D%B4%ED%94%84%EC%8A%A4%ED%83%80%EC%9D%BC+S%ED%98%B8%ED%85%94/data=!4m10!3m9!1s0x357c9db3c22f2403:0x64f0acd379d4c585!5m2!4m1!1i2!8m2!3d37.530243!4d126.8446877!16s%2Fg%2F1tj28yll!19sChIJAyQvwrOdfDURhcXUedOs8GQ?authuser=0&hl=ko&rclk=1
항동철길,호텔레몬트리,https://www.google.com/maps/place/%ED%98%B8%ED%85%94%EB%A0%88%EB%AA%AC%ED%8A%B8%EB%A6%AC/data=!4m10!3m9!1s0x357b6275db9381b9:0xc3635206a9ac0ac2!5m2!4m1!1i2!8m2!3d37.4943187!4d126.8416061!16s%2Fg%2F11ghrgxddd!19sChIJuYGT23ViezURwgqsqQZSY8M?authuser=0&hl=ko&rclk=1
항동철길,호텔베르누이서울(HOTEL BERNOUI SEOUL),https://www.google.com/maps/place/%ED%98%B8%ED%85%94%EB%B2%A0%EB%A5%B4%EB%88%84%EC%9D%B4%EC%84%9C%EC%9A%B8%28HOTEL+BERNOUI+SEOUL%29/data=!4m10!3m9!1s0x357c9d8b2e16e389:0x76453ea03c8e31e7!5m2!4m1!1i2!8m2!3d37.4972241!4d126.845983!16s%2Fg%2F11b7vs7bvd!19sChIJieMWLoudfDUR5zGOPKA-RXY?authuser=0&hl=ko&rclk=1
항동철길,본모텔,https://www.google.com/maps/place/%EB%B3%B8%EB%AA%A8%ED%85%94/data=!4m10!3m9!1s0x357b6275d9b88c89:0x1d120611497a7a5f!5m2!4m1!1i2!8m2!3d37.4941876!4d126.8413786!16s%2Fg%2F11r9gvm23y!19sChIJiYy42XViezURX3p6SREGEh0?authuser=0&hl=ko&rclk=1
항동철길,쎄비앙,https://www.google.com/maps/place/%EC%8E%84%EB%B9%84%EC%95%99/data=!4m10!3m9!1s0x357c9d8ada383be9:0x412b2a9821922aa2!5m2!4m1!1i2!8m2!3d37.4962705!4d126.8457613!16s%2Fg%2F1trpj41t!19sChIJ6Ts42oqdfDURoiqSIZgqK0E?authuser=0&hl=ko&rclk=1
항동철길,세븐,https://www.google.com/maps/place/%EC%84%B8%EB%B8%90/data=!4m10!3m9!1s0x357c9d8adcb06771:0xaa01cdf55a8806e2!5m2!4m1!1i2!8m2!3d37.4961875!4d126.8454776!16s%2Fg%2F1tcvm67g!19sChIJcWew3IqdfDUR4gaIWvXNAao?authuser=0&hl=ko&rclk=1
