관광지명,숙박시설명,URL
명락사,1975 Yurim Inn,https://www.google.com/maps/place/1975+Yurim+Inn/data=!4m10!3m9!1s0x357c9f8e860b2855:0xe31656ca9c875302!5m2!4m1!1i2!8m2!3d37.481462!4d126.946371!16s%2Fg%2F11vyhyndn3!19sChIJVSgLho6ffDURAlOHnMpWFuM?authuser=0&hl=ko&rclk=1
명락사,Seoul National University Violinh,https://www.google.com/maps/place/Seoul+National+University+Violinh/data=!4m10!3m9!1s0x357c9f899c776f19:0x35dd4e17654ff323!5m2!4m1!1i2!8m2!3d37.479765!4d126.951742!16s%2Fg%2F11nfvs6fw3!19sChIJGW93nImffDURI_NPZRdO3TU?authuser=0&hl=ko&rclk=1
명락사,54번가 호텔,https://www.google.com/maps/place/54%EB%B2%88%EA%B0%80+%ED%98%B8%ED%85%94/data=!4m10!3m9!1s0x357c9f39e5862afb:0xa90916c44d2840a6!5m2!4m1!1i2!8m2!3d37.480641!4d126.9505844!16s%2Fg%2F11ghq07tqv!19sChIJ-yqG5TmffDURpkAoTcQWCak?authuser=0&hl=ko&rclk=1
명락사,휠 모텔,https://www.google.com/maps/place/%ED%9C%A0+%EB%AA%A8%ED%85%94/data=!4m10!3m9!1s0x357c9f89a0bb01ed:0x24d1c2ad4bfdf089!5m2!4m1!1i2!8m2!3d37.4805011!4d126.9514716!16s%2Fg%2F11f6g3rq13!19sChIJ7QG7oImffDURifD9S63C0SQ?authuser=0&hl=ko&rclk=1
관악구민운동장,Seoul National University Violinh,https://www.google.com/maps/place/Seoul+National+University+Violinh/data=!4m10!3m9!1s0x357c9f899c776f19:0x35dd4e17654ff323!5m2!4m1!1i2!8m2!3d37.479765!4d126.951742!16s%2Fg%2F11nfvs6fw3!19sChIJGW93nImffDURI_NPZRdO3TU?authuser=0&hl=ko&rclk=1
관악구민운동장,짚 호텔,https://www.google.com/maps/place/%EC%A7%9A+%ED%98%B8%ED%85%94/data=!4m10!3m9!1s0x357c9f89eb9a5c03:0x40806447d04a33b!5m2!4m1!1i2!8m2!3d37.47956!4d126.953034!16s%2Fg%2F12vrt172n!19sChIJA1ya64mffDURO6MEfUQGCAQ?authuser=0&hl=ko&rclk=1
관악구민운동장,휠 모텔,https://www.google.com/maps/place/%ED%9C%A0+%EB%AA%A8%ED%85%94/data=!4m10!3m9!1s0x357c9f89a0bb01ed:0x24d1c2ad4bfdf089!5m2!4m1!1i2!8m2!3d37.4805011!4d126.9514716!16s%2Fg%2F11f6g3rq13!19sChIJ7QG7oImffDURifD9S63C0SQ?authuser=0&hl=ko&rclk=1
관악구민운동장,호텔 린,https://www.google.com/maps/place/%ED%98%B8%ED%85%94+%EB%A6%B0/data=!4m10!3m9!1s0x357c9fbf3accfe25:0x20131b735134a20a!5m2!4m1!1i2!8m2!3d37.4797993!4d126.9514984!16s%2Fg%2F11sg_hhxtb!19sChIJJf7MOr-ffDURCqI0UXMbEyA?authuser=0&hl=ko&rclk=1
관악구민운동장,바이올린,https://www.google.com/maps/place/%EB%B0%94%EC%9D%B4%EC%98%AC%EB%A6%B0/data=!4m10!3m9!1s0x357c9f899c7f4c1d:0x136fe31aca7b1417!5m2!4m1!1i2!8m2!3d37.4797834!4d126.951771!16s%2Fg%2F1w0hyk8z!19sChIJHUx_nImffDURFxR7yhrjbxM?authuser=0&hl=ko&rclk=1
서울 남현동 요지,사당 카리스 호텔,https://www.google.com/maps/place/%EC%82%AC%EB%8B%B9+%EC%B9%B4%EB%A6%AC%EC%8A%A4+%ED%98%B8%ED%85%94/data=!4m10!3m9!1s0x357ca1a5262b9bd5:0x9bc18a74d4dd870f!5m2!4m1!1i2!8m2!3d37.4752284!4d126.9809201!16s%2Fg%2F11s0jg6zdg!19sChIJ1ZsrJqWhfDURD4fd1HSKwZs?authuser=0&hl=ko&rclk=1
서울 남현동 요지,Sadang Metro21,https://www.google.com/maps/place/Sadang+Metro21/data=!4m10!3m9!1s0x357ca04f355c6ddf:0x3433d1bc4e0b6c07!5m2!4m1!1i2!8m2!3d37.474158!4d126.981036!16s%2Fg%2F11nfvsfs81!19sChIJ321cNU-gfDURB2wLTrzRMzQ?authuser=0&hl=ko&rclk=1
서울 남현동 요지,램파트,https://www.google.com/maps/place/%EB%9E%A8%ED%8C%8C%ED%8A%B8/data=!4m10!3m9!1s0x357ca04f4b20f235:0xf469c1b40077dc4a!5m2!4m1!1i2!8m2!3d37.473967!4d126.981043!16s%2Fg%2F1ts_4jqc!19sChIJNfIgS0-gfDURStx3ALTBafQ?authuser=0&hl=ko&rclk=1
서울 남현동 요지,사당 M,https://www.google.com/maps/place/%EC%82%AC%EB%8B%B9+M/data=!4m10!3m9!1s0x357ca04ecd2e2e53:0xd10036098d9510dd!5m2!4m1!1i2!8m2!3d37.4759904!4d126.9809996!16s%2Fg%2F1tgrzwfg!19sChIJUy4uzU6gfDUR3RCVjQk2ANE?authuser=0&hl=ko&rclk=1
서울 남현동 요지,호텔 카일,https://www.google.com/maps/place/%ED%98%B8%ED%85%94+%EC%B9%B4%EC%9D%BC/data=!4m10!3m9!1s0x357ca107ea0c22fd:0x541313fe0f15b601!5m2!4m1!1i2!8m2!3d37.475628!4d126.980675!16s%2Fg%2F11vlwxwhrg!19sChIJ_SIM6gehfDURAbYVD_4TE1Q?authuser=0&hl=ko&rclk=1
신림체육센터,신림 도미니크호텔 (Dominique Hotel Seoul),https://www.google.com/maps/place/%EC%8B%A0%EB%A6%BC+%EB%8F%84%EB%AF%B8%EB%8B%88%ED%81%AC%ED%98%B8%ED%85%94+%28Dominique+Hotel+Seoul%29/data=!4m10!3m9!1s0x357c9fceb37b41a7:0xa0cd28a1e1c3590f!5m2!4m1!1i2!8m2!3d37.4825719!4d126.9173542!16s%2Fg%2F11df39j1q_!19sChIJp0F7s86ffDURD1nD4aEozaA?authuser=0&hl=ko&rclk=1
신림체육센터,CS프리미어호텔서울,https://www.google.com/maps/place/CS%ED%94%84%EB%A6%AC%EB%AF%B8%EC%96%B4%ED%98%B8%ED%85%94%EC%84%9C%EC%9A%B8/data=!4m10!3m9!1s0x357c9fcd1a2c41f7:0x13b3e9f4a82c5095!5m2!4m1!1i2!8m2!3d37.4811929!4d126.9128424!16s%2Fg%2F11f3xznvjy!19sChIJ90EsGs2ffDURlVAsqPTpsxM?authuser=0&hl=ko&rclk=1
