관광지명,숙박시설명,URL
화랑대 철도공원,W호텔,https://www.google.com/maps/place/W%ED%98%B8%ED%85%94/data=!4m10!3m9!1s0x357cbbceb3d529bd:0xb882c8c6249479d!5m2!4m1!1i2!8m2!3d37.6183153!4d127.0767527!16s%2Fg%2F1tjdp8mp!19sChIJvSnVs867fDURnUdJYowsiAs?authuser=0&hl=ko&rclk=1
화랑대 철도공원,갈매 퍼스트호텔,https://www.google.com/maps/place/%EA%B0%88%EB%A7%A4+%ED%8D%BC%EC%8A%A4%ED%8A%B8%ED%98%B8%ED%85%94/data=!4m10!3m9!1s0x357cb9e64f90d2fb:0x14a383ff279797b0!5m2!4m1!1i2!8m2!3d37.6325701!4d127.1168092!16s%2Fg%2F11fy_dk_p7!19sChIJ-9KQT-a5fDURsJeXJ_-DoxQ?authuser=0&hl=ko&rclk=1
화랑대 철도공원,르블랑,https://www.google.com/maps/place/%EB%A5%B4%EB%B8%94%EB%9E%91/data=!4m10!3m9!1s0x357cbbc908274ba7:0x2dea9dc248690906!5m2!4m1!1i2!8m2!3d37.6162328!4d127.0757488!16s%2Fg%2F11f64dnrww!19sChIJp0snCMm7fDURBglpSMKd6i0?authuser=0&hl=ko&rclk=1
화랑대 철도공원,S호텔,https://www.google.com/maps/place/S%ED%98%B8%ED%85%94/data=!4m10!3m9!1s0x357cbbc96df74121:0x31e843a7e92e7252!5m2!4m1!1i2!8m2!3d37.6164194!4d127.0765418!16s%2Fg%2F1tm86cbd!19sChIJIUH3bcm7fDURUnIu6adD6DE?authuser=0&hl=ko&rclk=1
수락산 당고개지구 공원,호텔리버,https://www.google.com/maps/place/%ED%98%B8%ED%85%94%EB%A6%AC%EB%B2%84/data=!4m10!3m9!1s0x357cb9d9a3448e91:0x5c63ace48f758f6e!5m2!4m1!1i2!8m2!3d37.6547552!4d127.0586058!16s%2Fg%2F11kq394gh5!19sChIJkY5Eo9m5fDURbo91j-SsY1w?authuser=0&hl=ko&rclk=1
수락산 당고개지구 공원,모모 호텔,https://www.google.com/maps/place/%EB%AA%A8%EB%AA%A8+%ED%98%B8%ED%85%94/data=!4m10!3m9!1s0x357cb9411c975227:0x38a7cb4fb14e8b66!5m2!4m1!1i2!8m2!3d37.654581!4d127.058043!16s%2Fg%2F1tg4zcc9!19sChIJJ1KXHEG5fDURZotOsU_Lpzg?authuser=0&hl=ko&rclk=1
수락산 당고개지구 공원,노원 에이플러스호텔,https://www.google.com/maps/place/%EB%85%B8%EC%9B%90+%EC%97%90%EC%9D%B4%ED%94%8C%EB%9F%AC%EC%8A%A4%ED%98%B8%ED%85%94/data=!4m10!3m9!1s0x357cb940fc6d53d3:0x195ace9b300abb63!5m2!4m1!1i2!8m2!3d37.6549521!4d127.0583965!16s%2Fg%2F11t1hgq01z!19sChIJ01Nt_EC5fDURY7sKMJvOWhk?authuser=0&hl=ko&rclk=1
수락산 당고개지구 공원,노원 필름 37.2 호텔,https://www.google.com/maps/place/%EB%85%B8%EC%9B%90+%ED%95%84%EB%A6%84+37.2+%ED%98%B8%ED%85%94/data=!4m10!3m9!1s0x357cb940e27fb655:0xc47eb1153b01a940!5m2!4m1!1i2!8m2!3d37.654864!4d127.0579726!16s%2Fg%2F11s_y33zt_!19sChIJVbZ_4kC5fDURQKkBOxWxfsQ?authuser=0&hl=ko&rclk=1
금호스포츠센터,노블레스관광호텔,https://www.google.com/maps/place/%EB%85%B8%EB%B8%94%EB%A0%88%EC%8A%A4%EA%B4%80%EA%B4%91%ED%98%B8%ED%85%94/data=!4m10!3m9!1s0x357ca18eccd46885:0x1f5921b01078fd62!5m2!4m1!1i2!8m2!3d37.6552237!4d127.0593635!16s%2Fg%2F1tfh2lk7!19sChIJhWjUzI6hfDURYv14ELAhWR8?authuser=0&hl=ko&rclk=1
금호스포츠센터,노원 필름 37.2 호텔,https://www.google.com/maps/place/%EB%85%B8%EC%9B%90+%ED%95%84%EB%A6%84+37.2+%ED%98%B8%ED%85%94/data=!4m10!3m9!1s0x357cb940e27fb655:0xc47eb1153b01a940!5m2!4m1!1i2!8m2!3d37.654864!4d127.0579726!16s%2Fg%2F11s_y33zt_!19sChIJVbZ_4kC5fDURQKkBOxWxfsQ?authuser=0&hl=ko&rclk=1
